"lose_spinning_lookforward","Integer","","Recommended","LOSE: While the reels were spinning, how much did you LOOK FORWARD to 3 pieces of fruit?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Lose condition, participants lost money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"lose_spinning_anxious","Integer","","Recommended","LOSE: While the reels were spinning, how NERVOUS/ANXIOUS were you about the outcome?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Lose condition, participants lost money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"lose_losemoney_happy","Integer","","Recommended","LOSE: When the reels landed on 3 pieces of fruit (and you LOST MONEY), how (HAPPY) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Lose condition, participants lost money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"lose_losemoney_anxious","Integer","","Recommended","LOSE: When the reels landed on 3 pieces of fruit (and you LOST MONEY), how (NERVOUS/ANXIOUS) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Lose condition, participants lost money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"lose_losemoney_excited","Integer","","Recommended","LOSE: When the reels landed on 3 pieces of fruit (and you LOST MONEY), how (EXCITED) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Lose condition, participants lost money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"lose_losemoney_disappointed","Integer","","Recommended","LOSE: When the reels landed on 3 pieces of fruit (and you LOST MONEY), how (DISAPPOINTED) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Lose condition, participants lost money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"lose_noloss_happy","Integer","","Recommended","LOSE: When the reels didn't land on 3 pieces of fruit (and you DIDN'T LOSE MONEY), how (HAPPY) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Lose condition, participants lost money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"lose_noloss_anxious","Integer","","Recommended","LOSE: When the reels didn't land on 3 pieces of fruit (and you DIDN'T LOSE MONEY), how (NERVOUS/ANXIOUS) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Lose condition, participants lost money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"lose_noloss_excited","Integer","","Recommended","LOSE: When the reels didn't land on 3 pieces of fruit (and you DIDN'T LOSE MONEY), how (EXCITED) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Lose condition, participants lost money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"lose_noloss_disappointed","Integer","","Recommended","LOSE: When the reels didn't land on 3 pieces of fruit (and you DIDN'T LOSE MONEY), how (DISAPPOINTED) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Lose condition, participants lost money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"noworl_spinning_lookforward","Integer","","Recommended","NO WIN OR LOSE: While the reels were spinning, how much did you LOOK FORWARD to 3 pieces of fruit?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the No Incentive condition, participants did not win or lose money, regardless of whether or not the machine landed on 3 pieces of fruit",""
"noworl_spinning_anxious","Integer","","Recommended","NO WIN OR LOSE: While the reels were spinning, how NERVOUS/ANXIOUS were you about the outcome?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the No Incentive condition, participants did not win or lose money, regardless of whether or not the machine landed on 3 pieces of fruit",""
"noworl_3fruit_happy","Integer","","Recommended","NO WIN OR LOSE: When the reels landed on 3 pieces of fruit (and you DIDN'T WIN MONEY), how (HAPPY) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the No Incentive condition, participants did not win or lose money, regardless of whether or not the machine landed on 3 pieces of fruit",""
"noworl_3fruit_anxious","Integer","","Recommended","NO WIN OR LOSE: When the reels landed on 3 pieces of fruit (and you DIDN'T WIN MONEY), how (NERVOUS/ANXIOUS) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the No Incentive condition, participants did not win or lose money, regardless of whether or not the machine landed on 3 pieces of fruit",""
"noworl_3fruit_excited","Integer","","Recommended","NO WIN OR LOSE: When the reels landed on 3 pieces of fruit (and you DIDN'T WIN MONEY), how (EXCITED) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the No Incentive condition, participants did not win or lose money, regardless of whether or not the machine landed on 3 pieces of fruit",""
"noworl_3fruit_disappointed","Integer","","Recommended","NO WIN OR LOSE: When the reels landed on 3 pieces of fruit (and you DIDN'T WIN MONEY), how (DISAPPOINTED) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the No Incentive condition, participants did not win or lose money, regardless of whether or not the machine landed on 3 pieces of fruit",""
"noworl_no3fruit_happy","Integer","","Recommended","NO WIN OR LOSE: When the reels didn't land on 3 pieces of fruit (and you DIDN'T WIN MONEY), how (HAPPY) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the No Incentive condition, participants did not win or lose money, regardless of whether or not the machine landed on 3 pieces of fruit",""
"noworl_no3fruit_anxious","Integer","","Recommended","NO WIN OR LOSE: When the reels didn't land on 3 pieces of fruit (and you DIDN'T WIN MONEY), how (NERVOUS/ANXIOUS) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the No Incentive condition, participants did not win or lose money, regardless of whether or not the machine landed on 3 pieces of fruit",""
"noworl_no3fruit_excited","Integer","","Recommended","NO WIN OR LOSE: When the reels didn't land on 3 pieces of fruit (and you DIDN'T WIN MONEY), how (EXCITED) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the No Incentive condition, participants did not win or lose money, regardless of whether or not the machine landed on 3 pieces of fruit",""
"noworl_no3fruit_disappointed","Integer","","Recommended","NO WIN OR LOSE: When the reels didn't land on 3 pieces of fruit (and you DIDN'T WIN MONEY), how (DISAPPOINTED) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the No Incentive condition, participants did not win or lose money, regardless of whether or not the machine landed on 3 pieces of fruit",""
"play_again","Integer","","Recommended","How much would you like to play this slot machine game again?","1::7","1 = not at all; 4 = somewhat; 7 = I definitely would; Indicates how rewarding participants found the task to be",""
