"sens_avoidgetmessy","Integer","","Recommended","""Touch: Avoids getting """"messy"""" (paste, sand, finger paint, glue, tape)""","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_discomfortingrooming","Integer","","Recommended","""Discomfort during grooming (hair cutting, face washing, fingernail cutting, tooth brushing)""","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_sensitivetofabrics","Integer","","Recommended","Sensitive to certain fabrics (centain clothes or bed sheets)","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_avoidbarefoot","Integer","","Recommended","""Avoids going barefoot, especially in sand or grass""","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_pickyeater","Integer","","Recommended","""Picky eater, especially regarding textures""","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_mouthobjects","Integer","","Recommended","Mouths objects","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_alwaysonthego","Integer","","Recommended","""Activity Level: Always """"on the go""""""","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_preferquietplay","Integer","","Recommended","""Prefers quiet, sedentary play (TV, books, computers)""","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_difficultpayingattention","Integer","","Recommended","Difficulty paying attention","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_hangsonthings","Integer","","Recommended","""Body Position: Hangs on people, furniture, objects even in familiar situations""","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_walkontoes","Integer","","Recommended","Walks on toes","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_enjoyfalling","Integer","","Recommended","Appears to enjoy falling","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
