"teaq43","Integer","","Recommended","I like exfoliating my skin","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq44","Integer","","Recommended","Kissing is an enjoyable part of expressing romantic feeling","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq45","Integer","","Recommended","I often have my skin stroked","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq46","Integer","","Recommended","I often hold hands with someone I am fond of","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq47","Integer","","Recommended","I like to stroke the skin of someone I know intimately","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq48","Integer","","Recommended","I am on huggable terms with quite a few people","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq49","Integer","","Recommended","I often fall asleep while holding someone I am close to","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq50","Integer","","Recommended","Snuggling up on the sofa with someone is great","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq51","Integer","","Recommended","I often put my arm around a close friend as we walk along together","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq52","Integer","","Recommended","I like having a bath with lots of bubble bath","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq53","Integer","","Recommended","I do not get many hugs these days","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq54","Integer","","Recommended","I am often given a shoulder massage","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq55","Integer","","Recommended","I like to use face masks on my skin","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq56","Integer","","Recommended","I like it when my friends greet me by giving me a hug","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq57","Integer","","Recommended","I often link arms with my friends and family as I walk along","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
