"osdt119","Integer","","Recommended","Oral Symbol Digit Test item 119","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt120","Integer","","Recommended","Oral Symbol Digit Test item 120","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt121","Integer","","Recommended","Oral Symbol Digit Test item 121","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt122","Integer","","Recommended","Oral Symbol Digit Test item 122","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt123","Integer","","Recommended","Oral Symbol Digit Test item 123","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt124","Integer","","Recommended","Oral Symbol Digit Test item 124","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt125","Integer","","Recommended","Oral Symbol Digit Test item 125","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt126","Integer","","Recommended","Oral Symbol Digit Test item 126","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt127","Integer","","Recommended","Oral Symbol Digit Test item 127","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt128","Integer","","Recommended","Oral Symbol Digit Test item 128","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt129","Integer","","Recommended","Oral Symbol Digit Test item 129","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt130","Integer","","Recommended","Oral Symbol Digit Test item 130","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt131","Integer","","Recommended","Oral Symbol Digit Test item 131","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt132","Integer","","Recommended","Oral Symbol Digit Test item 132","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt133","Integer","","Recommended","Oral Symbol Digit Test item 133","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt134","Integer","","Recommended","Oral Symbol Digit Test item 134","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt135","Integer","","Recommended","Oral Symbol Digit Test item 135","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt136","Integer","","Recommended","Oral Symbol Digit Test item 136","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt137","Integer","","Recommended","Oral Symbol Digit Test item 137","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt138","Integer","","Recommended","Oral Symbol Digit Test item 138","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt139","Integer","","Recommended","Oral Symbol Digit Test item 139","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt140","Integer","","Recommended","Oral Symbol Digit Test item 140","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt141","Integer","","Recommended","Oral Symbol Digit Test item 141","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt142","Integer","","Recommended","Oral Symbol Digit Test item 142","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt143","Integer","","Recommended","Oral Symbol Digit Test item 143","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt144","Integer","","Recommended","Oral Symbol Digit Test item 144","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"nih_tlbx_theta","Float","","Recommended","Theta","","999=NA/NK/missing",""
"nih_tlbx_fctsc","Float","","Recommended","Fully-Corrected T-Score","0::120","",""
"osdt_ps","Float","","Recommended","Processing Speed","","",""
"nih_oralsymboldigit_raw","Integer","","Recommended","NIH Toolbox Oral Symbol Digit Test - Raw Score","0::144","Sum of correct responses to items 1-144",""
"nih_oralsymboldigit_zscore","Float","","Recommended","NIH Toolbox Oral Symbol Digit Test - Z-score","","",""
