"bees_ibqr_11","Integer","","Recommended","In the last week, while being fed in your lap, how often did the baby seem eager to get away as soon as the feeding was over?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_12","Integer","","Recommended","When singing or talking to your baby, how often did s/he soothe immediately?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_13","Integer","","Recommended","When placed on his/her back, how often did the baby squirm and/or turn body?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_14","Integer","","Recommended","During a peekaboo game, how often did the baby laugh?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_15","Integer","","Recommended","How often does the infant look up from playing when the telephone rings?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_16","Integer","","Recommended","How often did the baby seem angry (crying and fussing) when you left her/him in the crib?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_17","Integer","","Recommended","How often during the last week did the baby startle at a sudden change in body position (e.g., when moved suddenly)?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_18","Integer","","Recommended","How often during the last week did the baby enjoy hearing the sound of words, as in nursery rhymes?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_19","Integer","","Recommended","How often during the last week did the baby look at pictures in books and/or magazines for 5 minutes or longer at a time?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_20","Integer","","Recommended","When visiting a new place, how often did your baby get excited about exploring new surroundings?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_21","Integer","","Recommended","How often during the last week did the baby smile or laugh when given a toy?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_22","Integer","","Recommended","At the end of an exciting day, how often did your baby become tearful?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_23","Integer","","Recommended","How often during the last week did the baby protest being placed in a confining place (infant seat, play pen, car seat, etc.)?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_24","Integer","","Recommended","When being held, in the last week, did your baby seem to enjoy him/herself?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_25","Integer","","Recommended","When showing the baby something to look at, how often did s/he soothe immediately?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_26","Integer","","Recommended","When hair was washed, how often did the baby vocalize?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_27","Integer","","Recommended","How often did your baby notice the sound of an airplane passing overhead?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_28","Integer","","Recommended","When introduced to an unfamiliar adult, how often did the baby refuse to go to the unfamiliar person?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_29","Integer","","Recommended","When you were busy with another activity, and your baby was not able to get your attention, how often did s/he cry?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_30","Integer","","Recommended","How often during the last week did the baby enjoy gentle rhythmic activities, such as rocking or swaying?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_31","Integer","","Recommended","How often during the last week did the baby stare at a mobile, crib bumper or picture for 5 minutes or longer?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_32","Integer","","Recommended","When the baby wanted something, how often did s/he become upset when s/he could not get what s/he wanted?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_33","Integer","","Recommended","When in the presence of several unfamiliar adults, how often did the baby cling to a parent?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_34","Integer","","Recommended","When rocked or hugged, in the last week, did your baby seem to enjoy him/herself?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_35","Integer","","Recommended","When patting or gently rubbing some part of the baby's body, how often did s/he soothe immediately?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_36","Integer","","Recommended","How often did your baby make talking sounds when riding in a car?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_37","Integer","","Recommended","When placed in an infant seat or car seat, how often did the baby squirm and turn body?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
