"compaeq_11","Integer","","Recommended","When I drink alcohol, I am more likely to flirt.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_12","Integer","","Recommended","When I drink alcohol, I can have more fun at parties.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_13","Integer","","Recommended","When I drink alcohol, I am full of energy and thirsting for action.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_14","Integer","","Recommended","When I drink alcohol, I am funnier.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_15","Integer","","Recommended","When I drink alcohol, it doesn't matter as much anymore what people think of me.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_16","Integer","","Recommended","When I drink alcohol, I can switch my mind off better.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_17","Integer","","Recommended","When I drink alcohol, I am not so tensed up anymore.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_18","Integer","","Recommended","When I drink alcohol, I can forget about my problems and worries.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_19","Integer","","Recommended","When I drink alcohol, any pain that I have eases greatly.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_20","Integer","","Recommended","When I drink alcohol, I am not as tense anymore.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_21","Integer","","Recommended","When I drink alcohol, I can bear pain more easily.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_22","Integer","","Recommended","When I drink alcohol, I no longer feel so rushed or under time pressure.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_23","Integer","","Recommended","When I drink alcohol, I can cool off faster when I'm angry.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_24","Integer","","Recommended","When I drink alcohol, I have difficulty concentrating.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_25","Integer","","Recommended","When I drink alcohol, I can no longer follow a conversation very well.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_26","Integer","","Recommended","When I drink alcohol, I become sluggish.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_27","Integer","","Recommended","When I drink alcohol, I can't think clearly anymore.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_28","Integer","","Recommended","When I drink alcohol, I behave clumsily.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_29","Integer","","Recommended","When I drink alcohol, I react more slowly than usual.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_30","Integer","","Recommended","When I drink alcohol, I have difficulty judging situations correctly.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_31","Integer","","Recommended","When I drink alcohol, I feel dazed and dizzy.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_32","Integer","","Recommended","When I drink alcohol, it is harder for me to think about knotty problems.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_33","Integer","","Recommended","When I drink alcohol, I feel sick to my stomach.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_34","Integer","","Recommended","When I drink alcohol, I am irritable and hotheaded.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_35","Integer","","Recommended","When I drink alcohol, I get aggressive more quickly.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_36","Integer","","Recommended","When I drink alcohol, I am more likely to pick a fight.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_37","Integer","","Recommended","When I drink alcohol, I lose my temper more quickly and fly into rages.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_38","Integer","","Recommended","When I drink alcohol, sex is more intense.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_39","Integer","","Recommended","When I drink alcohol, I enjoy sex even more.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_40","Integer","","Recommended","When I drink alcohol, I am in a romantic mood.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_41","Integer","","Recommended","When I drink alcohol, I am more emotional.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_42","Integer","","Recommended","When I drink alcohol, my sexual desire increases.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
