"dbas_short_13","Integer","","Recommended","I believe insomnia is essentially the result of a chemical imbalance.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_14","Integer","","Recommended","I feel insomnia is ruining my ability to enjoy life and prevents me from doing what I want.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_15","Integer","","Recommended","Medication is probably the only solution to sleeplessness.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_16","Integer","","Recommended","I avoid or cancel obligations (social, family, etc) after a poor nights sleep.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas8","Integer","","Recommended","When I sleep poorly on one night, I know it will disturb my sleep schedule for the whole week.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas9","Integer","","Recommended","Without an adequate night''s sleep, I can hardly function the next day.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas10","Integer","","Recommended","I can''t ever predict whether I''ll have a good night''s sleep.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas11","Integer","","Recommended","I have little ability to manage the negative consequences of disturbed sleep.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas12","Integer","","Recommended","When I feel tired, have no energy, or just seem not to function well during the day, it is generally because I did not sleep well the night before.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas13","Integer","","Recommended","I believe insomnia is essentially the result of a chemical imbalance.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas14","Integer","","Recommended","I feel insomnia is ruining my ability to enjoy life and prevents me from during what I want.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas15","Integer","","Recommended","A nightcap before bedtime is a good solution to sleeplessness.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas16","Integer","","Recommended","It usually shows in my physical appearance when I haven''t slept well.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas1","Integer","","Recommended","I need 8 hours of sleep to feel refreshed and function well during the day.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas2","Integer","","Recommended","When I don''t get the proper amount of sleep on a given night, I need to catch up on the next day by napping or on the next night by sleeping longer.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas3","Integer","","Recommended","I am concerned that chronic insomnia may have serious consequences on my physical health.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas4","Integer","","Recommended","I am worried that I may lose control over my ability to sleep.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas5","Integer","","Recommended","After a poor nights sleep, I know that it will interfere with my daily activities on the next day.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas6","Integer","","Recommended","In order to be alert and function well during the day, I am better off taking a sleeping pill rather than having a poor nights sleep.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
"dbas7","Integer","","Recommended","When I feel irritated, depressed, or anxious during the day, it is mostly because I did not sleep well the night before.","1::10","1=Strongly Disagree; 10=Strongly Agree",""
