"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"pctqp_16","Integer","","Recommended","A computerized therapy program would do what I want it to do.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_17","Integer","","Recommended","If I were to seek therapy in the future, I would consider computerized therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_18","Integer","","Recommended","There is enough therapist contact in computerized therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_19","Integer","","Recommended","I know how to find a computerized therapy program.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_20","Integer","","Recommended","Learning to use a computerized therapy program would be easy for me.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_21","Integer","","Recommended","It is easy to communicate with a therapist online.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_22","Integer","","Recommended","Using computerized therapy fits with my beliefs about therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_23","Integer","","Recommended","My personal information would be safe when using computerized therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_24","Integer","","Recommended","I could see myself using computerized therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_25","Integer","","Recommended","Using computerized therapy fits well with the way I like to receive therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_26","Integer","","Recommended","Using computerized therapy would save more time than other treatments.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_27","Integer","","Recommended","It is easy to use computerized therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_28","Integer","","Recommended","Computerized therapy is advantageous.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_29","Integer","","Recommended","I know people who use computerized therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_30","Integer","","Recommended","I know enough about computers to use computerized therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_31","Integer","","Recommended","I could try computerized therapy without changing other aspects of my clinical care.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_32","Integer","","Recommended","I would be able to try computerized therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_33","Integer","","Recommended","The ability to try computerized therapy would make me more likely to use it in the future.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_34","Integer","","Recommended","I would want to try computerized therapy before using it as a treatment.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_35","Integer","","Recommended","I know where to go to try computerized therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
