"ibqrsl018","Integer","","Recommended","18. angry when left in the crib","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq20_12,ibq8_2,ibqmat20,ibqrdq18,q_18"
"ibqrsl019","Integer","","Recommended","19. contented when left in the crib","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq21_12,ibq8_5,ibqmat21,ibqrdq19,q_19"
"ibqrsl020","Integer","","Recommended","20. cry or fuss before sleep for naps","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq8_3,ibqmat22,ibqrdq20,q_20"
"ibqrsl021","Integer","","Recommended","21. fall asleep within 10 minutes","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq21,q_21"
"ibqrsl022","Integer","","Recommended","22. hard time settling down to sleep","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq22,q_22"
"ibqrsl023","Integer","","Recommended","23. settle down to sleep easily","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq12_12,ibqmat12,ibqrdq23,q_23"
"ibqrsl024","Integer","","Recommended","24. hard time going back to sleep","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq24,q_24"
"ibqrsl025","Integer","","Recommended","25. go back to sleep immediately","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq25,q_25"
"ibqrsl026","Integer","","Recommended","26. stay awake for a long time","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq26,q_26"
"ibqrsl027","Integer","","Recommended","27. go to sleep immediately","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq27,q_27"
"ibqrsl028","Integer","","Recommended","28. settle down quickly","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq28,q_28"
"ibqrsl029","Integer","","Recommended","29. hard time settling down","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq29,q_29"
"ibqrsl030","Integer","","Recommended","30. whimper or sob","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq30,q_30"
"ibqrsl031","Integer","","Recommended","31. become tearful","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq31,q_31"
"ibqrba032","Integer","","Recommended","32. wave arms and kick","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq23_12,ibq9_2,ibqmat23,ibqrdq32,q_32"
"ibqrba033","Integer","","Recommended","33. squirm and/or try to roll away","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq9_5,ibqmat24,ibqrdq33,q_33"
"ibqrba034","Integer","","Recommended","34. smile or laugh","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq25_12,ibq9_3,ibqmat25,ibqrdq34,q_34"
"ibqrba035","Integer","","Recommended","35. coo or vocalize","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq18_12,ibqmat18,ibqrdq35,q_35"
"ibqrba036","Integer","","Recommended","36. smile","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq10_5,ibq27_12,ibqmat27,ibqrdq36,q_36"
"ibqrba037","Integer","","Recommended","37. laugh","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq10_3,ibq28_12,ibqmat28,ibqrdq37,q_37"
"ibqrba038","Integer","","Recommended","38. splash or kick","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq10_8,ibq30_12,ibqmat30,ibqrdq38,q_38"
"ibqrba039","Integer","","Recommended","39. turn body and/or squirm","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq10_9,ibq31_12,ibqmat31,ibqrdq39,q_39"
"ibqrba040","Integer","","Recommended","40. smile or laugh","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq11_2,ibq32_12,ibqmat32,ibqrdq40,q_40"
"ibqrba041","Integer","","Recommended","41. fuss or cry","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq11_7,ibq33_12,ibqmat33,ibqrdq41,q_41"
"ibqrba042","Integer","","Recommended","42. coo","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq42,q_42"
"ibqrba043","Integer","","Recommended","43.smile","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq43,q_43"
"ibqrba044","Integer","","Recommended","44. fuss or cry","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq12_7,ibqrdq44,q_44"
"ibqrba045","Integer","","Recommended","45. vocalize","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq45,q_45"
"ibqrpl046","Integer","","Recommended","46. look at pictures 2-5min at a time","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq13_2,ibq36_12,ibqmat36,ibqrdq46,q_46"
"ibqrpl047","Integer","","Recommended","47. look at pictures >5min at a time","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq13_7,ibq37_12,ibqmat37,ibqrdq47,q_47"
"ibqrpl048","Integer","","Recommended","48. stare at mobile etc. >5min","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq13_8,ibq38_12,ibqmat38,ibqrdq48,q_48"
"ibqrpl049","Integer","","Recommended","49. play with one toy 5-10min","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq13_9,ibq39_12,ibqmat39,ibqrdq49,q_49"
"ibqrpl050","Integer","","Recommended","50. play with one toy >10min","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq13_10,ibq40_12,ibqmat40,ibqrdq50,q_50"
"ibqrpl051","Integer","","Recommended","51. time just looking at playthings","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq13_11,ibq41_12,ibqmat41,ibqrdq51,q_51"
"ibqrpl052","Integer","","Recommended","52. repeat the same sounds","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq13_12,ibq42_12,ibqmat42,ibqrdq52,q_52"
"ibqrpl053","Integer","","Recommended","53. laugh aloud in play","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq13_13,ibq43_12,ibqmat43,ibqrdq53,q_53"
"ibqrpl054","Integer","","Recommended","54. repeat the same movement","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq13_16,ibq46_12,ibqmat46,ibqrdq54,q_54"
"ibqrpl055","Integer","","Recommended","55. pay attention to reading","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq55,q_55"
"ibqrpl056","Integer","","Recommended","56. smile or laugh after accomplish","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq56,q_56"
"ibqrpl057","Integer","","Recommended","57. smile or laugh when given a toy","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq57,q_57"
"ibqrpl058","Integer","","Recommended","58. smile or laugh when tickled","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq13_14,ibq44_12,ibqmat44,ibqrdq58,q_58"
"ibqrpl059","Integer","","Recommended","59. being sung to","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq59,q_59"
"ibqrpl060","Integer","","Recommended","60. being read to","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq60,q_60"
"ibqrpl061","Integer","","Recommended","61. hearing the sound of words","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq61,q_61"
"ibqrpl062","Integer","","Recommended","62. looking at picture books","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq62,q_62"
"ibqrpl063","Integer","","Recommended","63. gentle rhythmic activities","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq63,q_63"
"ibqrpl064","Integer","","Recommended","64. lying and examining fingers/toes","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq64,q_64"
"ibqrpl065","Integer","","Recommended","65. being tickled by family","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq65,q_65"
"ibqrpl066","Integer","","Recommended","66. involved in rambunctious play","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq66,q_66"
"ibqrpl067","Integer","","Recommended","67. watching playfully made faces","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq67,q_67"
"ibqrpl068","Integer","","Recommended","68. touching stuffed animals","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq68,q_68"
"ibqrpl069","Integer","","Recommended","69. the feel of soft blankets","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq69,q_69"
"ibqrpl070","Integer","","Recommended","70. rolled up in a warm blanket","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq70,q_70"
"ibqrpl071","Integer","","Recommended","71. listening to a musical toy","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq71,q_71"
"ibqrpl072","Integer","","Recommended","72. show pleasure","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq72,q_72"
"ibqrpl073","Integer","","Recommended","73. enjoy lying in crib for >5min","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq73,q_73"
"ibqrpl074","Integer","","Recommended","74. enjoy lying in crib for >10min","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq74,q_74"
"ibqrpl075","Integer","","Recommended","75. cry or show distress for a time","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq14_2,ibq47_12,ibqmat47,ibqrdq75,q_75"
"ibqrpl076","Integer","","Recommended","76. seem not bothered","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq14_8,ibq49_12,ibqmat49,ibqrdq76,q_76"
"ibqrpl077","Integer","","Recommended","77. smile","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq15_8,ibq50_12,ibqmat50,ibqrdq77,q_77"
"ibqrpl078","Integer","","Recommended","78. laugh","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq15_9,ibq51_12,ibqmat51,ibqrdq78,q_78"
"ibqrpl079","Integer","","Recommended","79. smile","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq16_8,ibq52_12,ibqmat52,ibqrdq79,q_79"
"ibqrpl080","Integer","","Recommended","80. laugh","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq16_9,ibq53_12,ibqmat53,ibqrdq80,q_80"
"ibqrpl081","Integer","","Recommended","81. while on your lap","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq81,q_81"
"ibqrpl082","Integer","","Recommended",""" 82. on a bed, bouncer chair, toy  ""","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq82,q_82"
"ibqrpl083","Integer","","Recommended","83. when the telephone rang","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq83,q_83"
"ibqrpl084","Integer","","Recommended","84. heard voices in the next room","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq84,q_84"
"ibqrpl085","Integer","","Recommended","85. get very excited about getting it","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq85,q_85"
"ibqrpl086","Integer","","Recommended","86. immediately go after it","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq86,q_86"
"ibqrpl087","Integer","","Recommended","87. get very excited about getting it","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq87,q_87"
"ibqrpl088","Integer","","Recommended","88. immediately go after it","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq88,q_88"
"ibqrpl089","Integer","","Recommended","89. seem not to get very excited","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq89,q_89"
"ibqrda090","Integer","","Recommended","90. cry at change in parents appearance","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq17_10,ibq55_12,ibqmat55,ibqrdq90,q_90"
"ibqrda091","Integer","","Recommended","91. look at TV for 2-5min at a time","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq17_9,ibq56_12,ibqmat56,ibqrdq91,q_91"
"ibqrda092","Integer","","Recommended","92. look at TV for >5min","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq17_11,ibq57_12,ibqmat57,ibqrdq92,q_92"
"ibqrda093","Integer","","Recommended","93. protest placed in a confining place","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq17_12,ibq58_12,ibqmat58,ibqrdq93,q_93"
"ibqrda094","Integer","","Recommended","94. sudden change in body position","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq17_13,ibq59_12,ibqmat59,ibqrdq94,q_94"
"ibqrda095","Integer","","Recommended","95. listen to even very quiet sounds","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq95,q_95"
"ibqrda096","Integer","","Recommended","96. attend sights or sounds outdoors","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq96,q_96"
