"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bal_pro11","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? Taking PrEP would help me discuss my sexual health with my medical provider.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_pro12","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? Taking PrEP would make me feel like I am doing my part to control the HIV epidemic.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_cons1","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? I may experience some side effects from PrEP.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_cons2","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? I may experience long-term health consequences from PrEP.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_cons3","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? I may develop resistance to certain HIV medications if I were to become HIV+ while taking PrEP.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_cons4","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? PrEP might not provide complete protection against HIV.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_cons5","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? People may think I'm HIV+ if they see that I'm taking HIV medications as PrEP.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_cons6","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? People may judge me if they know I'm on PrEP.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_cons7","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? Doctors may think I'm HIV+ if I tell them I'm taking PrEP.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_cons8","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? I don't want my medical record to show that I've been on PrEP.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_cons9","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? I'm worried my family might find out that I'm on PrEP.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
