"but_b18","Integer","","Recommended","Of my body, in particular, I hate: hairs","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b19","Integer","","Recommended","Of my body, in particular, I hate: shoulders","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b20","Integer","","Recommended","Of my body, in particular, I hate: arms","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b21","Integer","","Recommended","Of my body, in particular, I hate: hands","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b22","Integer","","Recommended","Of my body, in particular, I hate: chest","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b23","Integer","","Recommended","Of my body, in particular, I hate: breasts","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b24","Integer","","Recommended","Of my body, in particular, I hate: stomach","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b25","Integer","","Recommended","Of my body, in particular, I hate: abdomen","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b26","Integer","","Recommended","Of my body, in particular, I hate: genitals","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b27","Integer","","Recommended","Of my body, in particular, I hate: buttocks","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b28","Integer","","Recommended","Of my body, in particular, I hate: hips","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b29","Integer","","Recommended","Of my body, in particular, I hate: thighs","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b30","Integer","","Recommended","Of my body, in particular, I hate: knees","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b31","Integer","","Recommended","Of my body, in particular, I hate: legs","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b32","Integer","","Recommended","Of my body, in particular, I hate: ankles","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b33","Integer","","Recommended","Of my body, in particular, I hate: feet","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b34","Integer","","Recommended","Of my body, in particular, I hate: odour","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b35","Integer","","Recommended","Of my body, in particular, I hate: noises","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b36","Integer","","Recommended","Of my body, in particular, I hate: sweat","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b37","Integer","","Recommended","Of my body, in particular, I hate: blushing","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
