"ambi_11","Integer","","Recommended","Believe that I am better than others.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_11"
"ambi_12","Integer","","Recommended","Sympathize with the homeless.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_12"
"ambi_13","Integer","","Recommended","Keep things tidy.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_13"
"ambi_14","Integer","","Recommended","Am a highly disciplined person.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_14"
"ambi_15","Integer","","Recommended","Jump into things without thinking.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_15"
"ambi_16","Integer","","Recommended","Admire a really clever scam.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_16"
"ambi_17","Integer","","Recommended","Like to own things that impress people.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_17"
"ambi_18","Integer","","Recommended","Try to be with someone else when I'm feeling badly.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_18"
"ambi_19","Integer","","Recommended","Feel others' emotions.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_19"
"ambi_20","Integer","","Recommended","Talk a lot.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_20"
"ambi_21","Integer","","Recommended","Try to avoid speaking in public","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_21"
"ambi_22","Integer","","Recommended","Am usually active and full of energy.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_22"
"ambi_23","Integer","","Recommended","Am patient with people who annoy me.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_23"
"ambi_24","Integer","","Recommended","Am easily annoyed.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_24"
"ambi_25","Integer","","Recommended","Push myself very hard to succeed.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_25"
"ambi_26","Integer","","Recommended","Do not like art.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_26"
"ambi_27","Integer","","Recommended","Love to hear about other countries and cultures.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_27"
"ambi_28","Integer","","Recommended","Am considered to be kind of eccentric.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_28"
"ambi_29","Integer","","Recommended","Worry about what people think of me.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_29"
"ambi_30","Integer","","Recommended","Am very shy in social situations.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_30"
"ambi_31","Integer","","Recommended","Don't have much energy.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_31"
"ambi_32","Integer","","Recommended","Don't think that laws apply to me.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_32"
"ambi_33","Integer","","Recommended","Have frequent mood swings.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_33"
"ambi_34","Integer","","Recommended","Hold a grudge.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_34"
"ambi_35","Integer","","Recommended","Like to act on a whim.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_35"
"ambi_36","Integer","","Recommended","Have felt the presence of another person when he or she was not really there.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_36"
"ambi_37","Integer","","Recommended","Seem to derive less enjoyment from interacting with people than others do.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_37"
"ambi_38","Integer","","Recommended","Love to be the center of attention.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_38"
"ambi_39","Integer","","Recommended","Don't let others cut in front of me in line.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_39"
"ambi_40","Integer","","Recommended","Insist that others do things my way.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_40"
"ambi_41","Integer","","Recommended","Am a firm believer in thinking things through.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_41"
"ambi_42","Integer","","Recommended","Dislike changes.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_42"
"ambi_43","Integer","","Recommended","Read a large variety of books.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_43"
"ambi_44","Integer","","Recommended","Love excitement.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_44"
"ambi_45","Integer","","Recommended","Would rather spend money than save it.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_45"
"ambi_46","Integer","","Recommended","Enjoy being reckless.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_46"
"ambi_47","Integer","","Recommended","Have never cared much what others thought of me.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_1"
"ambi_48","Integer","","Recommended","Usually get right to work on something that needs to be done as soon as I think of it.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_2"
"ambi_49","Integer","","Recommended","Often have the feeling that others laugh or talk about me.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_3"
"ambi_50","Integer","","Recommended","Try to forgive and forget.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_4"
"ambi_51","Integer","","Recommended","Feel little concern for others.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_5"
"ambi_52","Integer","","Recommended","Do things out of revenge.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_6"
"ambi_53","Integer","","Recommended","Have felt contact with a divine power.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_7"
"ambi_54","Integer","","Recommended","Am devoted to religion.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_8"
"ambi_55","Integer","","Recommended","Was a better than average student when I was in school.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_9"
"ambi_56","Integer","","Recommended","Felt close to my parents when I was a child.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_10"
"ambi_57","Integer","","Recommended","Feel a sense of worthlessness or hopelessness.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_11"
"ambi_58","Integer","","Recommended","Am interested in science.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_12"
"ambi_59","Integer","","Recommended","Believe that most questions have one right answer.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_13"
"ambi_60","Integer","","Recommended","Tend to feel happy and irritable at the same time.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_14"
"ambi_61","Integer","","Recommended","Believe it is always better to be safe than sorry.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_15"
"ambi_62","Integer","","Recommended","Rarely get irritated.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_16"
"ambi_63","Integer","","Recommended","Wanted to run away from home when I was a child.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_17"
"ambi_64","Integer","","Recommended","Often enjoy telling jokes or behaving in a humorous manner.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_18"
"ambi_65","Integer","","Recommended","Make enemies.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_19"
"ambi_66","Integer","","Recommended","Am fascinated by how machines work.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_20"
"ambi_67","Integer","","Recommended","Disliked math in school.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_21"
"ambi_68","Integer","","Recommended","Have a rich vocabulary.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_22"
"ambi_69","Integer","","Recommended","Like to read.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_23"
"ambi_70","Integer","","Recommended","Don't care about dressing nicely.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_24"
"ambi_71","Integer","","Recommended","Worry about things.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_25"
"ambi_72","Integer","","Recommended","Am easily intimidated.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_26"
"ambi_73","Integer","","Recommended","Love large parties.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_27"
"ambi_74","Integer","","Recommended","Seldom daydream.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_30"
"ambi_75","Integer","","Recommended","Crave the experience of great art.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_31"
"ambi_76","Integer","","Recommended","Tend to vote for liberal political candidates.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_32"
"ambi_77","Integer","","Recommended","Feel sympathy for those who are worse off than myself.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_34"
"ambi_78","Integer","","Recommended","Use my charm to get attention.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_35"
"ambi_79","Integer","","Recommended","Avoid activities that are physically dangerous.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_36"
"ambi_80","Integer","","Recommended","Immediately feel sad when hearing of an unhappy event.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_37"
"ambi_81","Integer","","Recommended","Can make myself work on a difficult task even when I don't feel like trying.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_38"
"ambi_82","Integer","","Recommended","Pay too little attention to details.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_39"
"ambi_83","Integer","","Recommended","Do not like to visit museums.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_40"
"ambi_84","Integer","","Recommended","Have no special urge to do something original.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_41"
"ambi_85","Integer","","Recommended","Have difficulty showing affection.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_42"
"ambi_86","Integer","","Recommended","Find it easy to manipulate others.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_43"
"ambi_87","Integer","","Recommended","Cannot imagine lying or cheating.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_44"
"ambi_88","Integer","","Recommended","Talk to a lot of different people at parties.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_45"
"ambi_89","Integer","","Recommended","Dislike having authority over others.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w2_46"
"ambi_90","Integer","","Recommended","Often forget to put things back in their proper place.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_1"
"ambi_91","Integer","","Recommended","Act without consulting others.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_2"
"ambi_92","Integer","","Recommended","Like to visit new places.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_3"
"ambi_93","Integer","","Recommended","Have time for play and relaxation.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_4"
"ambi_94","Integer","","Recommended","Am open to new experiences.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_5"
"ambi_95","Integer","","Recommended","Don't care what others think.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_6"
"ambi_96","Integer","","Recommended","Am not sure where my life is going.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_7"
