"meec_11","Integer","","Recommended","My child does not notice when someone else is crying","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_12","Integer","","Recommended","My child ignores situations where someone is badly injured or upset","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_13","Integer","","Recommended","If someone gets hurt, my child is not emotionally affected","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_14","Integer","","Recommended","When another child cries, my child looks away","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_15","Integer","","Recommended","When someone gets hurt, my child may look up, but will not be concerned","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_16","Integer","","Recommended","Other people's misfortunes do not disturb my child a great deal","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_17","Integer","","Recommended","My child does not change his/her behavior or emotions in response to someone being upset","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_18","Integer","","Recommended","When others around my child are nervous or worried, he or she gets a bit scared and worried too","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_19","Integer","","Recommended","My child becomes nervous when other children around him or her are nervous","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_20","Integer","","Recommended","My child becomes scared when he or she sees someone who is scared","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_21","Integer","","Recommended","When another child gets frightened, my child freezes or starts to cry","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_22","Integer","","Recommended","It worries my child when others are worrying and panicky","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_23","Integer","","Recommended","My child becomes sad when other children around him/her are sad","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_24","Integer","","Recommended","My child also needs to be comforted when another child is in pain","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_25","Integer","","Recommended","When another child is upset, my child needs to be comforted too","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_26","Integer","","Recommended","My child is upset when something bad happens to a character in a movie","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_27","Integer","","Recommended","My child gets deeply involved with the feelings of a character in a film, play, or novel","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_28","Integer","","Recommended","My child is emotionally affected by book characters that are in trouble","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_29","Integer","","Recommended","Sad movies or TV shows make my child sad","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_30","Integer","","Recommended","My child gets upset/worried when characters in a book are lost, in danger or hurt","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_31","Integer","","Recommended","My child gets upset if movie/TV show characters are upset","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_32","Integer","","Recommended","My child gets emotional when he/she sees someone less fortunate than them, such as a homeless person","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_33","Integer","","Recommended","Seeing posters of homeless or sick children upsets my child","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_34","Integer","","Recommended","My child feels worried about people that are not as lucky as them","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_35","Integer","","Recommended","My child feels sad for other people who are physically disabled (e.g. in a wheelchair)","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
