"auds_26_fu","Integer","","Recommended","Has your drinking caused serious, recurrent physical problems, or made an existing physical problem worse?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_27_fu","Integer","","Recommended","Have you found that you had to drink much more than you once did to get the effect you wanted?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_28_fu","Integer","","Recommended","Have you or someone else been injured because of your drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_29_fu","Integer","","Recommended","Have you felt sick, shaky, or depressed when you stopped drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_30_fu","Integer","","Recommended","Have you failed to do what was normally expected of you because of drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_31_fu","Integer","","Recommended","Have you had any problems with family or friends that were probably caused by your drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_31b_fu","Integer","","Recommended","Have you continued to drink alcohol even though you thought your drinking caused problems with family or friends?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_32_fu","Integer","","Recommended","Have you often drank more than you originally had planned?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_33_fu","Integer","","Recommended","Have you gotten into trouble at work or school because of drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_34_fu","Integer","","Recommended","Have you often found it difficult to limit how much you drink?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_35_fu","Integer","","Recommended","Have you spent a great deal of time in activities necessary to obtain alcohol?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"followup_attn_check1","Integer","","Recommended","Follow up attention check 1- If you are reading this question, mark the boxes 'Yes, but not in the past 3 months' and 'No'.","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"followup_attn_check2","Integer","","Recommended","Follow up attention check 2- If you are reading this question, mark the boxes 'Yes, but not in the past 3 months' and 'No'.","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_36_fu","Integer","","Recommended","As a result of alcohol use, did you have a strong desire or craving to drink?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_37_fu","Integer","","Recommended","Have you had a period when you spent a lot of time being sick or getting over the bad aftereffects of drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_38_fu","Integer","","Recommended","After the effects of alcohol had worn off, did you experience any withdrawal symptoms from not drinking (e.g., shakes, tremors, sleeplessness, anxiety, sweating, flushing)?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_38b_fu","Integer","","Recommended","After the effects of alcohol had worn off, did you drink to relieve or avoid withdrawal symptoms (e.g. agitation, the shakes, trouble sleeping, irritability, headache, etc.)?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_39_fu","Integer","","Recommended","Have you found that your usual number of drinks had much less effect on you than it once did?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_40_fu","Integer","","Recommended","Have you spent too much time drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_41_fu","Integer","","Recommended","Have you been less physically active because of drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_42_fu","Integer","","Recommended","Have you had any problems with your emotions, nerves, or mental health that were probably caused or made worse by drinking alcohol?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_42b_fu","Integer","","Recommended","Have you continued to drink alcohol even though you thought drinking was causing you to have problems with your emotions, nerves, or mental health?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_43_fu","Integer","","Recommended","Have you damaged property, or done something disruptive such as setting off a false fire alarm, or other things like that after you had been drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_44_fu","Integer","","Recommended","Have you showed up late to work or school because of drinking, a hangover, or illness caused by drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
