"mgii_gc_12","Integer","","Recommended","The [BOYS/GIRLS] I know would be upset if I wanted to play with [BOYS/GIRLS]' toys","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_14","Integer","","Recommended","I would not be ashamed of myself if I heard myself talking like a [BOY/GIRL]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_15","Integer","","Recommended","The [BOYS/GIRLS] I know would think it was OK if I talked or acted like a [BOY/GIRL]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_16","Integer","","Recommended","y parents would be upset if they saw me acting like a [BOY/GIRL]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_17","Integer","","Recommended","I think it would be wrong for me to play with [BOYS/GIRLS]' toys or do [BOYS/GIRLS]' activities","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_18","Integer","","Recommended","The [BOYS/GIRLS] I know wouldn't like it if I wanted to learn an activity that [BOYS/GIRLS] usually do","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_19","Integer","","Recommended","My parents wouldn't mind if I wanted to collect things that [BOYS/GIRLS] usually collect","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_20","Integer","","Recommended","I wouldn't like myself if I heard myself talking or laughing like a [BOY/GIRL]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_21","Integer","","Recommended","The [BOYS/GIRLS] I know wouldn't mind if I wanted to play a [BOYS/GIRLS]' sport","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_22","Integer","","Recommended","My parents would think it was OK if I wanted to play with [BOYS/GIRLS]' toys","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_23","Integer","","Recommended","I would still like myself if I saw myself acting like a [BOY/GIRL]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_24","Integer","","Recommended","My parents wouldn't like it if I wanted to learn an activity that only [BOYS/GIRLS] do","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
