"enc_31","Integer","","Recommended","I keep updated about the events in the Philippines","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_32","Integer","","Recommended","I would let my guest sleep in my bed and I would sleep on the floor","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_33","Integer","","Recommended","Food is a gracious gift from God, and eating is participating in God's blessings","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_34","Integer","","Recommended","I identify more with the American community than with the Philippines","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_35","Integer","","Recommended","My self-esteem is largely based on how the group I belong to perceives me","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_36","Integer","","Recommended","Respecting a priest's or spiritual leader's advice is very important","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_37","Integer","","Recommended","I have participated in numerous Barrio Fiestas","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_38","Integer","","Recommended","I feel the need to put up a front in a group of people I do not know","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_39","Integer","","Recommended","I rarely celebrate and observe the traditions of Lent and Holy Week","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_40","Integer","","Recommended","I like to eat balut (duck embryo)","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_41","Integer","","Recommended","televisions, cars) is important","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_42","Integer","","Recommended","Children should earn a college degree before they get married","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_43","Integer","","Recommended","I do not call the Philippines when a political event or natural disaster occurs there","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_44","Integer","","Recommended","I feel anxious when doing things on my own because I am used to relying on family support and approval","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_45","Integer","","Recommended","I do not believe in the authority of the Pope","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_46","Integer","","Recommended","I know how to read and write in a Filipino dialect","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_47","Integer","","Recommended","At a party, I eat a lot so the host won't feel that the food was not good enough","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_48","Integer","","Recommended","I would call the parents of my godchildren 'comadre' or 'compadre'","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_49","Integer","","Recommended","I tend to change my behavior in order to get the approval of important people","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_50","Integer","","Recommended","I like to listen to music by Filipino musicians","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_51","Integer","","Recommended","Gossip can be a valuable way to get information around","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_52","Integer","","Recommended","I prefer to speak English over a Filipino dialect","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_53","Integer","","Recommended","If a relative got me a job when I needed it, I would remain in this job no matter what, due to my indebtedness to this relative","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_54","Integer","","Recommended","After I die, I want my body or ashes to be shipped to the Philippines","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_55","Integer","","Recommended","Shaming is an effective way to discipline a child","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_56","Integer","","Recommended","During Christmas, I put up a parol (star shaped lantern) as part of my decorations","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_57","Integer","","Recommended","I serve lots of food to my guests so that they will not view me in a negative light","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_58","Integer","","Recommended","One June 12th, I always celebrate Philippine Independence Day","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_59","Integer","","Recommended","I often decline compliments because I do not want to give the impression that I am too proud","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_60","Integer","","Recommended","I watch Filipino programs or movies when I can","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_61","Integer","","Recommended","I want to raise the standard of living of my family as a way to repay my gratitude to my parents and relatives","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_62","Integer","","Recommended","Children should not have to learn to speak and understand a Filipino dialect","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_63","Integer","","Recommended","It is acceptable for several generations of a family to share one household","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_64","Integer","","Recommended","I enjoy watching the Filipino news","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_65","Integer","","Recommended","If I was a supervisor, I would rarely give someone an unsatisfactory rating because I would not want to embarrass the employee","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_66","Integer","","Recommended","I am in many ways similar to Filipinos in the Philippines","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_67","Integer","","Recommended","If someone asks me for something, I may say yes even though I mean no, in order to be agreeable","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_68","Integer","","Recommended","I am very familiar with Filipino national heroes","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_69","Integer","","Recommended","Even if my relative is wrong, I will back him or her up in a conflict with a non-relative","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_70","Integer","","Recommended","I am extremely knowledgeable about important days in Philippine history, such as Philippine Independence Day","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_71","Integer","","Recommended","Teasing is a good way to socialize with your friends","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_72","Integer","","Recommended","I am knowledgeable about the current and previous presidents of the Philippines","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_73","Integer","","Recommended","Believing in a 'bahala na' (come what may) perspective helps me cope with events in my life that are outside of my control","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
