"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"inspired_q14","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Inspired","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","inspired,inspired_q14_s1_1,inspired_q14_s1_2,inspired_q14_s1_3,inspired_q14_s2_1,inspired_q14_s2_2,inspired_q14_s2_3,inspired_q14_s2_4,panas00_15,panas1_15,panas1c_14,panas2_15,panas_14,panas_gen_inspired,panas_insp,panas_now_inspired,panas_q14,papo014,papr014"
"nervous_q15","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Nervous","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","nervous,nervous_q15_s1_1,nervous_q15_s1_2,nervous_q15_s1_3,nervous_q15_s2_1,nervous_q15_s2_2,nervous_q15_s2_3,nervous_q15_s2_4,panas00_20,panas1_20,panas1c_15,panas2_20,panas_15,panas_gen_nervous,panas_nerv,panas_now_nervous,panas_pals6,panas_q15,papo015,papr015"
"determined_q16","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Determined","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","determined,determined_q16_s1_1,determined_q16_s1_2,determined_q16_s1_3,determined_q16_s2_1,determined_q16_s2_2,determined_q16_s2_3,determined_q16_s2_4,determined_q17,panas00_17,panas1_17,panas1c_16,panas2_17,panas_16,panas_deter,panas_gen_determined,panas_now_determined,panas_q16,papo016,papr016"
"attentive_q17","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Attentive","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","attentive,attentive_q17_s1_1,attentive_q17_s1_2,attentive_q17_s1_3,attentive_q17_s2_1,attentive_q17_s2_2,attentive_q17_s2_3,attentive_q17_s2_4,attentive_q18,panas00_18,panas1_18,panas1c_17,panas2_18,panas_17,panas_att,panas_gen_attentive,panas_now_attentive,panas_q17,papo017,papr017"
"jittery_q18","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Jittery","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","jittery,jittery_q18_s1_1,jittery_q18_s1_2,jittery_q18_s1_3,jittery_q18_s2_1,jittery_q18_s2_2,jittery_q18_s2_3,jittery_q18_s2_4,jittery_q19,panas00_19,panas1_19,panas1c_18,panas2_19,panas_18,panas_gen_jittery,panas_jit,panas_now_jittery,panas_q18,papo018,papr018"
"active_q19","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Active","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","active,active_q19_s1_1,active_q19_s1_2,active_q19_s1_3,active_q19_s2_1,active_q19_s2_2,active_q19_s2_3,active_q19_s2_4,active_q23,panas00_21,panas1_21,panas1c_19,panas2_21,panas_19,panas_active,panas_gen_active,panas_now_active,panas_q19,papo019,papr019"
"afraid_q20","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Afraid","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","afraid,afraid_q20_s1_1,afraid_q20_s1_2,afraid_q20_s1_3,afraid_q20_s2_1,afraid_q20_s2_2,afraid_q20_s2_3,afraid_q20_s2_4,afraid_q21,panas00_22,panas1_22,panas1c_20,panas2_22,panas_20,panas_afr,panas_gen_afraid,panas_now_afraid,panas_pals9,panas_q20,papo020,papr020"
"sad_q21","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Sad","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas_3,panas_3_tr1,panas_3_tr1_post,panas_3_tr2_post,panas_3_tr2_pre,panas_3_tr3_post,panas_3_tr3_pre,panas_pals1,sad_q20,sad_q21_s1_1,sad_q21_s1_2,sad_q21_s1_3,sad_q21_s2_1,sad_q21_s2_2,sad_q21_s2_3,sad_q21_s2_4"
"sum_pos","Integer","","Recommended","","Positive Affect Score","5::75; 9999; -9","9999=NA/missing; -9=incomplete","pa_score,panas_positiveaffect,panas_trait_pos,papo_pos_sum,papr_pos_sum,positive_affect_score,sum_pos_s1_1,sum_pos_s1_2,sum_pos_s1_3,sum_pos_s2_1,sum_pos_s2_2,sum_pos_s2_3,sum_pos_s2_4"
"mean_pos_moment","Float","","Conditional","answer_type == 1","Momentary Mean Positive Score","","9999=Missing",""
"mean_pos_moment_sd","Float","","Conditional","answer_type == 1","Momentary Mean Positive Score Standard Deviation","","9999=Missing",""
"mean_pos_week","Float","","Conditional","answer_type == 2","Weekly Mean Positive Score","","9999=Missing",""
"mean_pos_wek_sd","Float","","Conditional","answer_type == 2","Weekly Mean Positive Score Standard Deviation","","9999=Missing",""
"sum_neg","Integer","","Recommended","","Negative Affect Score","5::75; 9999; -9","9999=NA/missing; -9=incomplete","na_score,negative_affect_score,panas_negativeaffect,panas_trait_neg,papo_neg_sum,papr_neg_sum,sum_neg_s1_1,sum_neg_s1_2,sum_neg_s1_3,sum_neg_s2_1,sum_neg_s2_2,sum_neg_s2_3,sum_neg_s2_4"
"mean_neg_moment","Float","","Conditional","answer_type == 1","Momentary Mean Negative Score","","9999=Missing",""
"mean_neg_moment_sd","Float","","Conditional","answer_type == 1","Momentary Mean NegativeScore Standard Deviation","","9999=Missing",""
"mean_neg_week","Float","","Conditional","answer_type == 2","Weekly Mean Negative Score","","9999=Missing",""
"mean_neg_wek_sd","Float","","Conditional","answer_type == 2","Weekly Mean Negative Score Standard Deviation","","9999=Missing",""
"panas2a_1","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS interested","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing",""
"panas2a_2","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS distressed","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing",""
"panas2a_3","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS excited","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing",""
"panas2a_4","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS upset","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing",""
"panas2a_5","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS strong","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing",""
"panas2a_6","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS guilty","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing",""
"panas2a_7","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS scared","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing",""
"panas2b_1","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS hostile","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas2b_8"
"panas2b_2","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS enthusiastic","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas2b_9"
"panas2b_3","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS proud","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas2b_10"
"panas2b_4","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS irritable","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas2b_11"
"panas2b_5","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS alert","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas2b_12"
"panas2b_6","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS ashamed","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas2b_13"
"panas2c_1","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS inspired","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas2c_14"
"panas2c_2","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS nervous","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas2c_15"
"panas2c_3","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS determined","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas2c_16"
"panas2c_4","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS attentive","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas2c_17"
"panas2c_5","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS jittery","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas2c_18"
"panas2c_6","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS active","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas2c_19"
"panas2c_7","Integer","","Recommended","","Indicate to what extent you have felt this way during the past TWO WEEKS afraid","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas2c_20"
"comments_misc","String","4000","Recommended","","Miscellaneous comments on study, interview, methodology relevant to this form data","","","painst"
"version_form","String","121","Recommended","","Form used/assessment name","","",""
"angry_16","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Angry","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas_pals2"
"happy_q23","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Happy","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas00_16,panas1_16,panas2_16,panas_8,panas_8_tr1,panas_8_tr1_post,panas_8_tr2_post,panas_8_tr2_pre,panas_8_tr3_post,panas_8_tr3_pre,panas_pals5"
"panas_x_1","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Cheerful","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panas_cheerful,panasx1"
"panas_x_2","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Disgusted","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx2"
"panas_x_3","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Attentive","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panaspa_7,panasx3"
"panas_x_4","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Bashful.","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx4"
"panas_x_5","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Sluggish","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx5"
"panas_x_6","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Daring","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx6"
"panas_x_7","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Surpirsed","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx7"
"panas_x_8","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Strong","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panaspa_5,panasx8"
"panas_x_9","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Scornful","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx9"
"panas_x_10","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Relaxed","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx10"
"panas_x_11","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Irritable","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx11"
"panas_x_12","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Delighted","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panas_delighted,panasx12"
"panas_x_13","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Inspired","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panaspa_4,panasx13"
"panas_x_14","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Fearless","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx14"
"panas_x_15","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Disgusted with self","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panas1,panasx15"
"panas_x_16","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Sad","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panas1,panas2,panasx16"
"panas_x_17","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Calm","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panas11,panas_calm,panas_pals11,panasx17"
"panas_x_18","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Afraid","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panas9,panasx18"
"panas_x_19","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Tired","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx19"
"panas_x_20","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Amazed","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx20"
"panas_x_21","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Shaky","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx21"
"panas_x_22","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Happy","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panas5,panasx22"
"panas_x_23","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Timid","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx23"
"panas_x_24","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Alone","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panasx24"
"panas_x_25","Integer","","Recommended","","Indicate to what extent you feel this way during the past weeks. Alert","1::5;99;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; 99= N/A ; 77= Refused ; 88= Missing","panas3,panaspa_2,panasx25"
