"agonistic_q12","Integer","","Recommended","I have fantasized about sexually abusing someone who is drunk, high on drugs, asleep, or unconscious","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q13","Integer","","Recommended","I have attempted sexual intercourse with someone who was drunk, high on drugs, asleep, or unconscious","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q14","Integer","","Recommended","I have thought about embarrassing or humiliating someone during sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q15","Integer","","Recommended","I have thought about torturing someone during sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q16","Integer","","Recommended","I have hurt people for my own enjoyment","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q17","Integer","","Recommended","I have thought of cutting someone with a knife","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q18","Integer","","Recommended","The more scared a person becomes, the more sexually turned on I get","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q19","Integer","","Recommended","I have purposely hurt physically someone during sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q20","Integer","","Recommended","While having sex I have enjoyed scaring my companion so that they begged me to stop","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q21","Integer","","Recommended","I have beaten someone while I was having sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q22","Integer","","Recommended","I have strangled someone during sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q23","Integer","","Recommended","I have humiliated someone during sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q24","Integer","","Recommended","I have thought about burning someone during sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q25","Integer","","Recommended","I have sex with someone who didn't want to have sex with me","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q26","Integer","","Recommended","I have threatened to use physical force to make someone go along with sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q27","Integer","","Recommended","I have thought about killing someone during sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q28","Integer","","Recommended","I have fantasized about killing someone during sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q29","Integer","","Recommended","I enjoy seeing other people getting killed","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q30","Integer","","Recommended","I have tortured animals","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
