"aeas11","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Calm?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas12","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Aggressive?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas13","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Dizzy?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas14","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Anxious?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas15","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Attractive?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas16","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Ill?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas17","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Wobbly?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas18","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Funny?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas19","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Talkative?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas20","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Confident?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas21","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Happy?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas22","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Drunk?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas201","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Sociable?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas202","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Moody?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas203","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Demanding?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas204","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Mellow?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas205","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Carefree?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas206","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Rude?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas207","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Relaxed?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas208","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Woozy?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas209","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Fun?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas210","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Lively?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas211","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Calm?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas212","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Aggressive?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas213","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Dizzy?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas214","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Anxious?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas215","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Attractive?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas216","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Ill?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas217","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Wobbly?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas218","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Funny?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas219","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Talkative?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas220","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Confident?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas221","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Happy?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas222","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings an hour and a half (90 minutes) after finishing your final (5th for males, 4th for females) drink: Drunk?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
