"ihearts21","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: Negative assumptions about people with my health condition(s) keep me isolated from the world around me","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts22","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I stay away from social situations in order to protect my family or friends from feeling embarrassed by my health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts23","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: Being around people who don't have my health condition(s) makes me feel like I don't belong","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts24","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I try not to get close to people who don't have my health condition(s) to avoid rejection","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts25","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I don't tell other people that I have this health condition(s) because I'm afraid they will judge me","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts26","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I feel comfortable being seen in public with a person who has the same health condition(s) as me","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts27","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: In general, I am able to live life the way I want to even with my health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts28","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I can have a good, fulfilling life, despite my health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts29","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: People with my health condition(s) make important contributions to society","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts30","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: Living with my health condition(s) has made me a strong person","1::7","1=Strongly disagree; 7=Strongly agree",""
