"towre_a_41","Integer","","Recommended","strone","0;1","0=incorrect; 1=correct",""
"towre_a_42","Integer","","Recommended","lunaf","0;1","0=incorrect; 1=correct",""
"towre_a_43","Integer","","Recommended","cratty","0;1","0=incorrect; 1=correct",""
"towre_a_44","Integer","","Recommended","trober","0;1","0=incorrect; 1=correct",""
"towre_a_45","Integer","","Recommended","depate","0;1","0=incorrect; 1=correct",""
"towre_a_46","Integer","","Recommended","glant","0;1","0=incorrect; 1=correct",""
"towre_a_47","Integer","","Recommended","sploosh","0;1","0=incorrect; 1=correct",""
"towre_a_48","Integer","","Recommended","dreker","0;1","0=incorrect; 1=correct",""
"towre_a_49","Integer","","Recommended","ritlun","0;1","0=incorrect; 1=correct",""
"towre_a_50","Integer","","Recommended","hedfert","0;1","0=incorrect; 1=correct",""
"towre_a_51","Integer","","Recommended","bremick","0;1","0=incorrect; 1=correct",""
"towre_a_52","Integer","","Recommended","nifpate","0;1","0=incorrect; 1=correct",""
"towre_a_53","Integer","","Recommended","brinbert","0;1","0=incorrect; 1=correct",""
"towre_a_54","Integer","","Recommended","clabom","0;1","0=incorrect; 1=correct",""
"towre_a_55","Integer","","Recommended","derpnort","0;1","0=incorrect; 1=correct",""
"towre_a_56","Integer","","Recommended","shrattec","0;1","0=incorrect; 1=correct",""
"towre_a_57","Integer","","Recommended","plofent","0;1","0=incorrect; 1=correct",""
"towre_a_58","Integer","","Recommended","smucrit","0;1","0=incorrect; 1=correct",""
"towre_a_59","Integer","","Recommended","pelnador","0;1","0=incorrect; 1=correct",""
"towre_a_60","Integer","","Recommended","fornalask","0;1","0=incorrect; 1=correct",""
"towre_a_61","Integer","","Recommended","fermabalt","0;1","0=incorrect; 1=correct",""
"towre_a_62","Integer","","Recommended","crenidmoke","0;1","0=incorrect; 1=correct",""
"towre_a_63","Integer","","Recommended","emulbatate","0;1","0=incorrect; 1=correct",""
"towre_a_64","Integer","","Recommended","strotalented","0;1","0=incorrect; 1=correct",""
"towre_a_65","Integer","","Recommended","prilingdorfent","0;1","0=incorrect; 1=correct",""
"towre_a_66","Integer","","Recommended","chunfendilt","0;1","0=incorrect; 1=correct",""
"towre_b_1","Integer","","Recommended","mo","0;1","0=incorrect; 1=correct",""
"towre_b_2","Integer","","Recommended","ik","0;1","0=incorrect; 1=correct",""
"towre_b_3","Integer","","Recommended","pu","0;1","0=incorrect; 1=correct",""
"towre_b_4","Integer","","Recommended","bi","0;1","0=incorrect; 1=correct",""
"towre_b_5","Integer","","Recommended","ib","0;1","0=incorrect; 1=correct",""
"towre_b_6","Integer","","Recommended","ku","0;1","0=incorrect; 1=correct",""
"towre_b_7","Integer","","Recommended","eb","0;1","0=incorrect; 1=correct",""
"towre_b_8","Integer","","Recommended","pog","0;1","0=incorrect; 1=correct",""
"towre_b_9","Integer","","Recommended","dat","0;1","0=incorrect; 1=correct",""
"towre_b_10","Integer","","Recommended","mip","0;1","0=incorrect; 1=correct",""
"towre_b_11","Integer","","Recommended","ral","0;1","0=incorrect; 1=correct",""
"towre_b_12","Integer","","Recommended","nas","0;1","0=incorrect; 1=correct",""
"towre_b_13","Integer","","Recommended","mib","0;1","0=incorrect; 1=correct",""
"towre_b_14","Integer","","Recommended","faw","0;1","0=incorrect; 1=correct",""
"towre_b_15","Integer","","Recommended","shum","0;1","0=incorrect; 1=correct",""
"towre_b_16","Integer","","Recommended","bice","0;1","0=incorrect; 1=correct",""
"towre_b_17","Integer","","Recommended","nade","0;1","0=incorrect; 1=correct",""
"towre_b_18","Integer","","Recommended","teap","0;1","0=incorrect; 1=correct",""
"towre_b_19","Integer","","Recommended","derl","0;1","0=incorrect; 1=correct",""
"towre_b_20","Integer","","Recommended","marl","0;1","0=incorrect; 1=correct",""
"towre_b_21","Integer","","Recommended","berk","0;1","0=incorrect; 1=correct",""
"towre_b_22","Integer","","Recommended","mest","0;1","0=incorrect; 1=correct",""
"towre_b_23","Integer","","Recommended","stree","0;1","0=incorrect; 1=correct",""
"towre_b_24","Integer","","Recommended","weaf","0;1","0=incorrect; 1=correct",""
"towre_b_25","Integer","","Recommended","barch","0;1","0=incorrect; 1=correct",""
"towre_b_26","Integer","","Recommended","glack","0;1","0=incorrect; 1=correct",""
"towre_b_27","Integer","","Recommended","prot","0;1","0=incorrect; 1=correct",""
"towre_b_28","Integer","","Recommended","runk","0;1","0=incorrect; 1=correct",""
"towre_b_29","Integer","","Recommended","loast","0;1","0=incorrect; 1=correct",""
"towre_b_30","Integer","","Recommended","mact","0;1","0=incorrect; 1=correct",""
"towre_b_31","Integer","","Recommended","blork","0;1","0=incorrect; 1=correct",""
"towre_b_32","Integer","","Recommended","phet","0;1","0=incorrect; 1=correct",""
"towre_b_33","Integer","","Recommended","wogger","0;1","0=incorrect; 1=correct",""
"towre_b_34","Integer","","Recommended","klup","0;1","0=incorrect; 1=correct",""
"towre_b_35","Integer","","Recommended","skad","0;1","0=incorrect; 1=correct",""
"towre_b_36","Integer","","Recommended","keast","0;1","0=incorrect; 1=correct",""
"towre_b_37","Integer","","Recommended","churt","0;1","0=incorrect; 1=correct",""
"towre_b_38","Integer","","Recommended","glamp","0;1","0=incorrect; 1=correct",""
"towre_b_39","Integer","","Recommended","prait","0;1","0=incorrect; 1=correct",""
"towre_b_40","Integer","","Recommended","flact","0;1","0=incorrect; 1=correct",""
"towre_b_41","Integer","","Recommended","throbe","0;1","0=incorrect; 1=correct",""
"towre_b_42","Integer","","Recommended","creft","0;1","0=incorrect; 1=correct",""
"towre_b_43","Integer","","Recommended","flimp","0;1","0=incorrect; 1=correct",""
"towre_b_44","Integer","","Recommended","girtus","0;1","0=incorrect; 1=correct",""
"towre_b_45","Integer","","Recommended","strale","0;1","0=incorrect; 1=correct",""
"towre_b_46","Integer","","Recommended","debmer","0;1","0=incorrect; 1=correct",""
"towre_b_47","Integer","","Recommended","happon","0;1","0=incorrect; 1=correct",""
"towre_b_48","Integer","","Recommended","framble","0;1","0=incorrect; 1=correct",""
"towre_b_49","Integer","","Recommended","progus","0;1","0=incorrect; 1=correct",""
"towre_b_50","Integer","","Recommended","supken","0;1","0=incorrect; 1=correct",""
"towre_b_51","Integer","","Recommended","jeltlic","0;1","0=incorrect; 1=correct",""
"towre_b_52","Integer","","Recommended","tegwop","0;1","0=incorrect; 1=correct",""
"towre_b_53","Integer","","Recommended","slinperk","0;1","0=incorrect; 1=correct",""
"towre_b_54","Integer","","Recommended","plinders","0;1","0=incorrect; 1=correct",""
"towre_b_55","Integer","","Recommended","thundelp","0;1","0=incorrect; 1=correct",""
"towre_b_56","Integer","","Recommended","bramtich","0;1","0=incorrect; 1=correct",""
"towre_b_57","Integer","","Recommended","chimdruff","0;1","0=incorrect; 1=correct",""
"towre_b_58","Integer","","Recommended","darlankert","0;1","0=incorrect; 1=correct",""
"towre_b_59","Integer","","Recommended","stremfick","0;1","0=incorrect; 1=correct",""
"towre_b_60","Integer","","Recommended","morlingdon","0;1","0=incorrect; 1=correct",""
"towre_b_61","Integer","","Recommended","revignuf","0;1","0=incorrect; 1=correct",""
"towre_b_62","Integer","","Recommended","obsorfelm","0;1","0=incorrect; 1=correct",""
"towre_b_63","Integer","","Recommended","pitocrant","0;1","0=incorrect; 1=correct",""
"towre_b_64","Integer","","Recommended","glimpobot","0;1","0=incorrect; 1=correct",""
"towre_b_65","Integer","","Recommended","strilmolifant","0;1","0=incorrect; 1=correct",""
"towre_b_66","Integer","","Recommended","bormorint","0;1","0=incorrect; 1=correct",""
"towre_c_1","Integer","","Recommended","ap","0;1","0=incorrect; 1=correct",""
"towre_c_2","Integer","","Recommended","ta","0;1","0=incorrect; 1=correct",""
"towre_c_3","Integer","","Recommended","ki","0;1","0=incorrect; 1=correct",""
"towre_c_4","Integer","","Recommended","fa","0;1","0=incorrect; 1=correct",""
"towre_c_5","Integer","","Recommended","um","0;1","0=incorrect; 1=correct",""
"towre_c_6","Integer","","Recommended","ip","0;1","0=incorrect; 1=correct",""
"towre_c_7","Integer","","Recommended","zi","0;1","0=incorrect; 1=correct",""
"towre_c_8","Integer","","Recommended","pif","0;1","0=incorrect; 1=correct",""
"towre_c_9","Integer","","Recommended","wim","0;1","0=incorrect; 1=correct",""
"towre_c_10","Integer","","Recommended","tat","0;1","0=incorrect; 1=correct",""
"towre_c_11","Integer","","Recommended","daf","0;1","0=incorrect; 1=correct",""
"towre_c_12","Integer","","Recommended","lin","0;1","0=incorrect; 1=correct",""
"towre_c_13","Integer","","Recommended","fup","0;1","0=incorrect; 1=correct",""
"towre_c_14","Integer","","Recommended","het","0;1","0=incorrect; 1=correct",""
"towre_c_15","Integer","","Recommended","mave","0;1","0=incorrect; 1=correct",""
"towre_c_16","Integer","","Recommended","jate","0;1","0=incorrect; 1=correct",""
"towre_c_17","Integer","","Recommended","serm","0;1","0=incorrect; 1=correct",""
"towre_c_18","Integer","","Recommended","desh","0;1","0=incorrect; 1=correct",""
"towre_c_19","Integer","","Recommended","chuf","0;1","0=incorrect; 1=correct",""
"towre_c_20","Integer","","Recommended","knop","0;1","0=incorrect; 1=correct",""
"towre_c_21","Integer","","Recommended","bive","0;1","0=incorrect; 1=correct",""
"towre_c_22","Integer","","Recommended","farp","0;1","0=incorrect; 1=correct",""
"towre_c_23","Integer","","Recommended","stup","0;1","0=incorrect; 1=correct",""
"towre_c_24","Integer","","Recommended","clim","0;1","0=incorrect; 1=correct",""
"towre_c_25","Integer","","Recommended","frop","0;1","0=incorrect; 1=correct",""
"towre_c_26","Integer","","Recommended","peth","0;1","0=incorrect; 1=correct",""
"towre_c_27","Integer","","Recommended","visp","0;1","0=incorrect; 1=correct",""
"towre_c_28","Integer","","Recommended","keest","0;1","0=incorrect; 1=correct",""
"towre_c_29","Integer","","Recommended","plee","0;1","0=incorrect; 1=correct",""
"towre_c_30","Integer","","Recommended","shuddy","0;1","0=incorrect; 1=correct",""
"towre_c_31","Integer","","Recommended","chree","0;1","0=incorrect; 1=correct",""
"towre_c_32","Integer","","Recommended","mully","0;1","0=incorrect; 1=correct",""
"towre_c_33","Integer","","Recommended","plirt","0;1","0=incorrect; 1=correct",""
"towre_c_34","Integer","","Recommended","slife","0;1","0=incorrect; 1=correct",""
"towre_c_35","Integer","","Recommended","preem","0;1","0=incorrect; 1=correct",""
"towre_c_36","Integer","","Recommended","drait","0;1","0=incorrect; 1=correct",""
"towre_c_37","Integer","","Recommended","zich","0;1","0=incorrect; 1=correct",""
"towre_c_38","Integer","","Recommended","gloot","0;1","0=incorrect; 1=correct",""
"towre_c_39","Integer","","Recommended","prisk","0;1","0=incorrect; 1=correct",""
"towre_c_40","Integer","","Recommended","felm","0;1","0=incorrect; 1=correct",""
"towre_c_41","Integer","","Recommended","strine","0;1","0=incorrect; 1=correct",""
"towre_c_42","Integer","","Recommended","linuf","0;1","0=incorrect; 1=correct",""
"towre_c_43","Integer","","Recommended","gratty","0;1","0=incorrect; 1=correct",""
"towre_c_44","Integer","","Recommended","trubot","0;1","0=incorrect; 1=correct",""
"towre_c_45","Integer","","Recommended","depite","0;1","0=incorrect; 1=correct",""
"towre_c_46","Integer","","Recommended","clant","0;1","0=incorrect; 1=correct",""
"towre_c_47","Integer","","Recommended","splooch","0;1","0=incorrect; 1=correct",""
"towre_c_48","Integer","","Recommended","druter","0;1","0=incorrect; 1=correct",""
"towre_c_49","Integer","","Recommended","ritluf","0;1","0=incorrect; 1=correct",""
"towre_c_50","Integer","","Recommended","medferm","0;1","0=incorrect; 1=correct",""
"towre_c_51","Integer","","Recommended","cremuck","0;1","0=incorrect; 1=correct",""
"towre_c_52","Integer","","Recommended","tifpote","0;1","0=incorrect; 1=correct",""
"towre_c_53","Integer","","Recommended","trinbort","0;1","0=incorrect; 1=correct",""
"towre_c_54","Integer","","Recommended","clatim","0;1","0=incorrect; 1=correct",""
"towre_c_55","Integer","","Recommended","bretmirt","0;1","0=incorrect; 1=correct",""
"towre_c_56","Integer","","Recommended","shrufted","0;1","0=incorrect; 1=correct",""
"towre_c_57","Integer","","Recommended","plifant","0;1","0=incorrect; 1=correct",""
"towre_c_58","Integer","","Recommended","smingrot","0;1","0=incorrect; 1=correct",""
"towre_c_59","Integer","","Recommended","felnadit","0;1","0=incorrect; 1=correct",""
"towre_c_60","Integer","","Recommended","jornaloast","0;1","0=incorrect; 1=correct",""
"towre_c_61","Integer","","Recommended","tildabalt","0;1","0=incorrect; 1=correct",""
"towre_c_62","Integer","","Recommended","frenitmork","0;1","0=incorrect; 1=correct",""
"towre_c_63","Integer","","Recommended","amalfitut","0;1","0=incorrect; 1=correct",""
"towre_c_64","Integer","","Recommended","crolnadibot","0;1","0=incorrect; 1=correct",""
"towre_c_65","Integer","","Recommended","umligorlok","0;1","0=incorrect; 1=correct",""
"towre_c_66","Integer","","Recommended","fomlitant","0;1","0=incorrect; 1=correct",""
"towre_d_1","Integer","","Recommended","mi","0;1","0=incorrect; 1=correct",""
"towre_d_2","Integer","","Recommended","ak","0;1","0=incorrect; 1=correct",""
"towre_d_3","Integer","","Recommended","fu","0;1","0=incorrect; 1=correct",""
"towre_d_4","Integer","","Recommended","pi","0;1","0=incorrect; 1=correct",""
"towre_d_5","Integer","","Recommended","ot","0;1","0=incorrect; 1=correct",""
"towre_d_6","Integer","","Recommended","di","0;1","0=incorrect; 1=correct",""
"towre_d_7","Integer","","Recommended","ef","0;1","0=incorrect; 1=correct",""
"towre_d_8","Integer","","Recommended","pom","0;1","0=incorrect; 1=correct",""
"towre_d_9","Integer","","Recommended","dut","0;1","0=incorrect; 1=correct",""
"towre_d_10","Integer","","Recommended","mim","0;1","0=incorrect; 1=correct",""
"towre_d_11","Integer","","Recommended","sal","0;1","0=incorrect; 1=correct",""
"towre_d_12","Integer","","Recommended","pas","0;1","0=incorrect; 1=correct",""
"towre_d_13","Integer","","Recommended","mub","0;1","0=incorrect; 1=correct",""
"towre_d_14","Integer","","Recommended","daw","0;1","0=incorrect; 1=correct",""
"towre_d_15","Integer","","Recommended","chif","0;1","0=incorrect; 1=correct",""
"towre_d_16","Integer","","Recommended","give","0;1","0=incorrect; 1=correct",""
"towre_d_17","Integer","","Recommended","sade","0;1","0=incorrect; 1=correct",""
"towre_d_18","Integer","","Recommended","feap","0;1","0=incorrect; 1=correct",""
"towre_d_19","Integer","","Recommended","terl","0;1","0=incorrect; 1=correct",""
"towre_d_20","Integer","","Recommended","varm","0;1","0=incorrect; 1=correct",""
"towre_d_21","Integer","","Recommended","zerk","0;1","0=incorrect; 1=correct",""
"towre_d_22","Integer","","Recommended","munt","0;1","0=incorrect; 1=correct",""
"towre_d_23","Integer","","Recommended","stral","0;1","0=incorrect; 1=correct",""
"towre_d_24","Integer","","Recommended","heaf","0;1","0=incorrect; 1=correct",""
"towre_d_25","Integer","","Recommended","nirch","0;1","0=incorrect; 1=correct",""
"towre_d_26","Integer","","Recommended","grack","0;1","0=incorrect; 1=correct",""
"towre_d_27","Integer","","Recommended","frot","0;1","0=incorrect; 1=correct",""
"towre_d_28","Integer","","Recommended","jirt","0;1","0=incorrect; 1=correct",""
"towre_d_29","Integer","","Recommended","soast","0;1","0=incorrect; 1=correct",""
"towre_d_30","Integer","","Recommended","bact","0;1","0=incorrect; 1=correct",""
"towre_d_31","Integer","","Recommended","plork","0;1","0=incorrect; 1=correct",""
"towre_d_32","Integer","","Recommended","phen","0;1","0=incorrect; 1=correct",""
"towre_d_33","Integer","","Recommended","mogger","0;1","0=incorrect; 1=correct",""
"towre_d_34","Integer","","Recommended","flup","0;1","0=incorrect; 1=correct",""
"towre_d_35","Integer","","Recommended","skaf","0;1","0=incorrect; 1=correct",""
"towre_d_36","Integer","","Recommended","deast","0;1","0=incorrect; 1=correct",""
"towre_d_37","Integer","","Recommended","chort","0;1","0=incorrect; 1=correct",""
"towre_d_38","Integer","","Recommended","glist","0;1","0=incorrect; 1=correct",""
"towre_d_39","Integer","","Recommended","flait","0;1","0=incorrect; 1=correct",""
"towre_d_40","Integer","","Recommended","plact","0;1","0=incorrect; 1=correct",""
"towre_d_41","Integer","","Recommended","throfe","0;1","0=incorrect; 1=correct",""
"towre_d_42","Integer","","Recommended","crift","0;1","0=incorrect; 1=correct",""
"towre_d_43","Integer","","Recommended","flunt","0;1","0=incorrect; 1=correct",""
"towre_d_44","Integer","","Recommended","mirtus","0;1","0=incorrect; 1=correct",""
"towre_d_45","Integer","","Recommended","strame","0;1","0=incorrect; 1=correct",""
"towre_d_46","Integer","","Recommended","fishner","0;1","0=incorrect; 1=correct",""
"towre_d_47","Integer","","Recommended","jickfen","0;1","0=incorrect; 1=correct",""
"towre_d_48","Integer","","Recommended","frimble","0;1","0=incorrect; 1=correct",""
"towre_d_49","Integer","","Recommended","pridus","0;1","0=incorrect; 1=correct",""
"towre_d_50","Integer","","Recommended","mubkan","0;1","0=incorrect; 1=correct",""
"towre_d_51","Integer","","Recommended","wultlac","0;1","0=incorrect; 1=correct",""
"towre_d_52","Integer","","Recommended","bemwip","0;1","0=incorrect; 1=correct",""
"towre_d_53","Integer","","Recommended","slunbort","0;1","0=incorrect; 1=correct",""
"towre_d_54","Integer","","Recommended","clinders","0;1","0=incorrect; 1=correct",""
"towre_d_55","Integer","","Recommended","chundelt","0;1","0=incorrect; 1=correct",""
"towre_d_56","Integer","","Recommended","framtich","0;1","0=incorrect; 1=correct",""
"towre_d_57","Integer","","Recommended","chrontriff","0;1","0=incorrect; 1=correct",""
"towre_d_58","Integer","","Recommended","purlinkist","0;1","0=incorrect; 1=correct",""
"towre_d_59","Integer","","Recommended","stritlork","0;1","0=incorrect; 1=correct",""
"towre_d_60","Integer","","Recommended","torlingfen","0;1","0=incorrect; 1=correct",""
"towre_d_61","Integer","","Recommended","bevignuf","0;1","0=incorrect; 1=correct",""
"towre_d_62","Integer","","Recommended","obsimfest","0;1","0=incorrect; 1=correct",""
"towre_d_63","Integer","","Recommended","lutacrift","0;1","0=incorrect; 1=correct",""
"towre_d_64","Integer","","Recommended","vuntilorst","0;1","0=incorrect; 1=correct",""
"towre_d_65","Integer","","Recommended","broganoft","0;1","0=incorrect; 1=correct",""
"towre_d_66","Integer","","Recommended","sprotmobon","0;1","0=incorrect; 1=correct",""
"towre_sight_raw","Integer","","Required","Sight Word Efficiency Raw Score","","",""
"towre_sight_prec","Integer","","Recommended","Sight Word Efficiency Percentile","","",""
"towre_sight_scal","Integer","","Required","Sight Word Efficiency Scaled Score","","",""
"towre_phone_raw","Integer","","Required","Phonemic Decoding Efficiency Raw Score","","",""
"towre_phone_perc","Integer","","Recommended","Phonemic Decoding Efficiency Percentile","","",""
"towre_phone_scaled","Integer","","Required","Phonemic Decoding Efficiency Scaled Score","","",""
"towre_tot_wordeffiraw","Integer","","Required","Total Word Efficiency Index Raw Score","","",""
"towre_tot_wordeffiperc","Integer","","Recommended","Total Word Efficiency Index Perecentile","","",""
"towre_tot_wordeffis","Integer","","Required","Total Word Efficiency Index Scaled Score","","",""
