"cmni_20","Integer","","Recommended","In general, I control the women in my life.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_21","Integer","","Recommended","I would feel good if I had many sexual partners.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_22","Integer","","Recommended","It is important for me to win.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_23","Integer","","Recommended","I don't like giving all my attention to work.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_24","Integer","","Recommended","It would be awful if people thought I was gay.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_25","Integer","","Recommended","I like to talk about my feelings.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_26","Integer","","Recommended","I never ask for help.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_27","Integer","","Recommended","More often than not, losing does not bother me.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_28","Integer","","Recommended","I frequently put myself in risky situations.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_29","Integer","","Recommended","Women should be subservient to men.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_30","Integer","","Recommended","I am willing to get into a physical fight if necessary.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_31","Integer","","Recommended","I feel good when work is my first priority.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_32","Integer","","Recommended","I tend to keep my feelings to myself.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_33","Integer","","Recommended","Winning is not important to me.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_34","Integer","","Recommended","Violence is almost never justified.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_35","Integer","","Recommended","I am happiest when I'm risking danger.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_36","Integer","","Recommended","It would be enjoyable to date more than one person at a time.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_37","Integer","","Recommended","I would feel uncomfortable if someone thought I was gay.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_38","Integer","","Recommended","I am not ashamed to ask for help.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_39","Integer","","Recommended","Work comes first.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_40","Integer","","Recommended","I tend to share my feelings.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_41","Integer","","Recommended","No matter what the situation I would never act violently.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_42","Integer","","Recommended","Things tend to be better when men are in charge.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_43","Integer","","Recommended","It bothers me when I have to ask for help.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_44","Integer","","Recommended","I love it when men are in charge of women.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_45","Integer","","Recommended","I hate it when people ask me to talk about my feelings.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_46","Integer","","Recommended","I try to avoid being perceived as gay.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
