"bq034","Integer","","Recommended","34. notice that material was very soft or rough?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_34_noticesoft�"
"bq035","Integer","","Recommended","35. notice low-pitched noises such as the air-conditioner, heater or refrigerator running or starting up?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_7,q_35_noticelowpitch�"
"bq036","Integer","","Recommended","36. blink a lot?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_8,q_36_blink"
"bq037","Integer","","Recommended","37. get very enthusiastic about the things he was going   to do?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_37_enthusiastic�"
"bq038","Integer","","Recommended","38. show fear at a loud sound (blender, vacuum cleaner, etc.)?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_25,q_38_fearloudsound"
"bq039","Integer","","Recommended","39. seem afraid of the dark?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_26,q_39_afraiddark�"
"bq040","Integer","","Recommended","40. want to interact with the adult?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_30,q_40_interactadult"
"bq041","Integer","","Recommended","41. sit quietly?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_27,q_41_sitquiet�"
"bq042","Integer","","Recommended",""" 42. splash, kick, or try to jump?  ""","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_42_splashkickjump�"
"bq043","Integer","","Recommended","43. look immediately when you pointed at something?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_10,q_43_lookpoint"
"bq044","Integer","","Recommended","44. choose to take chances for the fun and excitement  of it?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_6,ecbq_11,q_44_takechances"
"bq045","Integer","","Recommended","45. not like going down high slides?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_45_dislikehighslides"
"bq046","Integer","","Recommended","46. change to feeling better within a few minutes?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_28,q_46_feelbetter�"
"bq047","Integer","","Recommended","47. soothe only with difficulty?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_47_difficultsoothe"
"bq048","Integer","","Recommended","48. stay upset for 10 minutes or longer?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_48_upset10"
"bq049","Integer","","Recommended","49. play for 5 minutes or less?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_49_playless5"
"bq050","Integer","","Recommended","50. play for more than 10 minutes?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_7,ecbq_29,q_50_playmore10�"
"bq051","Integer","","Recommended","51. continue to play while at the same time responding  to your remarks or questions?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_8,ecbq_30,q_51_playandrespond�"
"bq052","Integer","","Recommended","52. watch rather than join in?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_31,q_52_watch"
"bq053","Integer","","Recommended","53. approach slowly?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_53_slowlyapproach�"
"bq054","Integer","","Recommended","54. seem uncomfortable?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_32,q_54_uncomfortable"
"bq055","Integer","","Recommended",""" 55. complain about odors on others, such as perfume?  ""","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_55_odorcomplain�"
"bq056","Integer","","Recommended","56. seem to be bothered by bright light?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_56_dislikebrightlight�"
"bq057","Integer","","Recommended","57. move quickly from one place to another?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_33,q_57_movequickly"
"bq058","Integer","","Recommended","58. notice the smoothness or roughness of objects she/he touched?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_34,q_58_noticesmooth�"
"bq059","Integer","","Recommended","59. became sad or blue for no apparent reason?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_35,q_59_becomesad"
"bq060","Integer","","Recommended","60. return to a previous activity?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_40,q_60_returnact"
"bq061","Integer","","Recommended","61. have difficulty returning to the previous activity?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_41,q_61_diffreturn�"
"bq062","Integer","","Recommended","62. seem frightened by monster characters?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_62_scaredmonster"
"bq063","Integer","","Recommended","63. respond immediately?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_63_respondimmidiate�"
"bq064","Integer","","Recommended","64. run to the door before getting ready?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_64_runtodoor"
"bq065","Integer","","Recommended","65. get very excited?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_9,ecbq_42,q_65_veryexcited"
"bq066","Integer","","Recommended","66. become very happy?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_43,q_66_veryhappy"
"bq067","Integer","","Recommended","67. seem to relax and enjoy himself?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_67_relax"
"bq068","Integer","","Recommended","68. get angry?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_68_getangry�"
"bq069","Integer","","Recommended","69. toss about in the bed?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_69_tossinbed"
"bq070","Integer","","Recommended","70. sleep in one position only?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_70_sleeponepos"
"bq071","Integer","","Recommended","71. swing or tap his/her foot?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_44,q_71_swingtap�"
"bq072","Integer","","Recommended","72. fiddle with his/her hair, clothing, etc.? ","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_10,ecbq_45,q_72_fiddle�"
"bq073","Integer","","Recommended",""" 73. show repeated movements like squinting, hunching   up the shoulders, or twitching the facial muscles? ""","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_46,q_73_repeat�"
"bq074","Integer","","Recommended","74. like rough and rowdy games?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_11,ecbq_47,q_74_roughgames�"
"bq075","Integer","","Recommended","75. enjoy playing boisterous games like chase?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_48,q_75_boisterous�"
"bq076","Integer","","Recommended","76. enjoy vigorously jumping on the couch or bed?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_49,q_76_jumponbed"
"bq077","Integer","","Recommended","77. turn away?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_50,q_77_turnaway�"
"bq078","Integer","","Recommended","78. become quiet?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_78_quiet"
"bq079","Integer","","Recommended","79. seem comfortable?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_79_comfortable"
"bq080","Integer","","Recommended","80. seem eager to get away?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_12,ecbq_51,q_80_eageraway"
"bq081","Integer","","Recommended","81. make protesting noises?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_81_protestnoise�"
"bq082","Integer","","Recommended","82. sit on the sidelines and observe before joining in?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_52,q_82_sideline�"
"bq083","Integer","","Recommended","83. get involved immediately?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_13,ecbq_53,q_83_involveimmediate�"
"bq084","Integer","","Recommended","84. engage in an activity with the child?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_54,q_84_engageact"
"bq085","Integer","","Recommended","85. seek out the company of the child?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_3,q_85_seekcompany"
"bq086","Integer","","Recommended","86. scream with anger?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_86_screamanger"
"bq087","Integer","","Recommended","87. not become angry?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_87_notangry�"
"bq088","Integer","","Recommended","88. sadly cry?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_88_crysadly�"
"bq089","Integer","","Recommended","89. not react with sadness?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_89_notsad�"
"bq090","Integer","","Recommended","90. move quickly to another activity?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_55,q_90_movequickly"
"bq091","Integer","","Recommended","91. stay involved for 10 minutes or more?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_91_staymore10�"
"bq092","Integer","","Recommended","92. tire of the activity relatively quickly?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_14,ecbq_56,q_92_tiredquickly�"
"bq093","Integer","","Recommended","93. pay attention to you right away when you called to him/her?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_15,ecbq_36,q_93_payattention�"
"bq094","Integer","","Recommended","94. seem to be disturbed by loud sounds?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_37,q_94_disturbloudsound�"
"bq095","Integer","","Recommended","95. stop going after a forbidden object when you used   a toy to distract him?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_95_forbiddenobj�"
"bq096","Integer","","Recommended",""" 96. notice small things, such as dirt or a stain, on her   clothes?  ""","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_96_noticesmall"
"bq097","Integer","","Recommended","97. seem uneasy about approaching an elevator or   escalator?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_57,q_97_uneasyelevator�"
"bq098","Integer","","Recommended","98. cry or show distress when approached by an   unfamiliar animal?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_58,q_98_cry"
"bq099","Integer","","Recommended",""" 99. seem afraid of large, noisy vehicles?  ""","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_19,ecbq_59,q_99_afraidvehicles�"
"bq100","Integer","","Recommended","100. show fear when the caregiver stepped out of   sight?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_60,q_100_fearnocaregiver�"
"bq101","Integer","","Recommended","101. seem to be one of the most active children?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_20,ecbq_12,q_101_active"
