"cfni_32","Integer","","Recommended","I would only have sex with the person I love.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_33","Integer","","Recommended","When I have a romantic relationship, I enjoy focusing my energies on it.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_34","Integer","","Recommended","There is no point to cleaning because things will get dirty again.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_35","Integer","","Recommended","I am not afraid to hurt people's feeling to get what I want.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_36","Integer","","Recommended","Taking care of children is extremely fulfilling.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_37","Integer","","Recommended","I would be perfectly happy with myself even if I gained weight.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_38","Integer","","Recommended","If I were single, my life would be complete without a partner.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_39","Integer","","Recommended","I rarely go out of my way to act nice.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_40","Integer","","Recommended","I actively avoid children.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_41","Integer","","Recommended","I am terrified of gaining weight.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_42","Integer","","Recommended","I would only have sex if I was in a committed relationship like marriage.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_43","Integer","","Recommended","I like being around children.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_44","Integer","","Recommended","I don't feel guilty if I lose contact with a friend.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_45","Integer","","Recommended","I would be ashamed if someone thought I was mean.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
