"iofs15","Integer","","Recommended","My social support network member felt unable to give any more energy to helping me","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs16","Integer","","Recommended","My social support network member felt burdened by my needs","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs17","Integer","","Recommended","My social support network member felt they were able to understand what I was going through","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs18","Integer","","Recommended","My social support network member felt tired of dealing with what happened to me","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs19","Integer","","Recommended","My social support network member felt they were doing a good job helping me","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs20","Integer","","Recommended","My social support network member was angry at me for letting this happen","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs21","Integer","","Recommended","My social support network member felt I brought the behavior on myself","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs22","Integer","","Recommended","My social support network member thought I could have done more to protect myself","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs23","Integer","","Recommended","My social support network member thought it was unwise to put myself in that position","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs24","Integer","","Recommended","My social support network member still feels that we have the same things in common","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs25","Integer","","Recommended","My social support network member still feels like they know and understand me","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs26","Integer","","Recommended","My social support network member believes that our relationship grew closer through dealing with the unwanted sexual experience","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs27","Integer","","Recommended","My social support network member cares more for me now","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs28","Integer","","Recommended","My social support network member is happy with the relationship","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs29","Integer","","Recommended","My social support network member felt that I had not trusted them enough to tell them sooner","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs30","Integer","","Recommended","My social support network member felt that I was being self-centered","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs31","Integer","","Recommended","My social support network member felt that I neglected or ignored them","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs32","Integer","","Recommended","My social support network member is afraid of upsetting me","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs33","Integer","","Recommended","My social support network member believes that our relationship grew more distant through dealing with the unwanted sexual experience","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs34","Integer","","Recommended","My social support network member wanted me to stop talking about what happened during the unwanted sexual experience","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs35","Integer","","Recommended","My social support network member wanted me to try and forget about the unwanted sexual experience","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs36","Integer","","Recommended","My social support network member wanted to keep the unwanted sexual experience a secret","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs37","Integer","","Recommended","My social support network member still does the same things together with me","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs38","Integer","","Recommended","My social support network member still treats me the same way","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs39","Integer","","Recommended","My social support network member felt able to tell me about their own feelings","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs40","Integer","","Recommended","My social support network member is still someone I go to for support the way I had before","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs41","Integer","","Recommended","My social support network member can still come to me for support the way they had before","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs42","Integer","","Recommended","My social support network member started to avoid me","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs43","Integer","","Recommended","My social support network member does not want to be around me anymore","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs44","Integer","","Recommended","My social support network member tried not to burden me with their feelings","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs45","Integer","","Recommended","My social support network member was afraid to mention the unwanted sexual experience until I brought it up","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs46","Integer","","Recommended","My social support network member is not themself around me anymore","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs47","Integer","","Recommended","My social support network member does not communicate as well as with me as they used to","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs48","Integer","","Recommended","My social support network member argues more with me than they used to","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs49","Integer","","Recommended","My social support network member feels more responsible for my safety now","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs50","Integer","","Recommended","My social support network member tried to get me to do what they thought was best","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs51","Integer","","Recommended","My social support network member cares less for me now","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
