"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sfas_child12","Integer","","Recommended","When you are not in school during the week (Monday to Friday), how much do you enjoy doing different things (e.g., being with friends, going places)?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child13","Integer","","Recommended","How often do you have bad feelings about school (e.g., scared, nervous, sad) when you think about school on Saturday and Sunday?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child14","Integer","","Recommended","How often do you stay away from places in school (e.g., hallways, places where certain groups of people are) where you would have to talk to someone?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child15","Integer","","Recommended","How much would you rather be taught by your parents at home than by your teacher at school?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child16","Integer","","Recommended","How often do you refuse to go to school because you want to have fun outside of school?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child17","Integer","","Recommended","If you had less bad feelings (e.g., scared, nervous, sad) about school, would it be easier for you to go to school?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child18","Integer","","Recommended","If it were easier for you to make new friends, would it be easier for you to go to school?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child19","Integer","","Recommended","Would it be easier for you to go to school if your parents went with you?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child20","Integer","","Recommended","Would it be easier for you to go to school if you could do more things you like to do after school hours (e.g., being with friends)?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child21","Integer","","Recommended","How much more do you have bad feelings about school (e.g., scared, nervous, sad) compared to other kids your age?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child22","Integer","","Recommended","How often do you stay away from people in school compared to other kids your age?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child23","Integer","","Recommended","Would you like to be home with your parents more than other kids your age would?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child24","Integer","","Recommended","Would you rather be doing fun things outside of school more than most kids your age?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
