"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bern_post_13","Integer","","Recommended","I'm more aware of what I want now. (Mastery experiences)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_14","Integer","","Recommended","I've got the feeling today that what the therapist is thinking about me is not what he's saying. (Discontentment with the bond)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_15","Integer","","Recommended","Today I was very involved emotionally. (Problem actuation)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_16","Integer","","Recommended","I feel that my therapist holds me in high regard. (Self esteem experiences)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_17","Integer","","Recommended","What we did today really affected me (Problem actuation)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_18","Integer","","Recommended","I now feel more up to situations I didn't feel I could cope with up until now. (Mastery experiences)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_19","Integer","","Recommended","I think a different therapeutic approach would be more suited to me. (Discontentment with the bond)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_20","Integer","","Recommended","I was able to contribute actively to the order of the session. (Therapist's directivity, experiences of control)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_21","Integer","","Recommended","I can decide on my own what is discussed during therapy. (Therapist's directivity, experiences of control)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_22","Integer","","Recommended","My therapist allows me to make my own therapy journey. (Therapist's directivity, experiences of control)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
