"m1_sas_11","Integer","","Recommended","My life would be empty without my smartphone","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_12","Integer","","Recommended","Feeling most liberal while using a smartphone","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_13","Integer","","Recommended","Using a smartphone is the most fun thing to do","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_14","Integer","","Recommended","Won't be able to stand not having a smartphone","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_15","Integer","","Recommended","Feeling impatient and fretful when I am not holding my smartphone","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_16","Integer","","Recommended","Having my smartphone in my mind even when I am not using it","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_17","Integer","","Recommended","I will never give up using my smartphone even when my daily life is already greatly affected by it","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_18","Integer","","Recommended","Getting irritated when bothered while using my smartphone","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_19","Integer","","Recommended","Bringing my smartphone to the toilet even when I am in a hurry to get there","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_20","Integer","","Recommended","Feeling great meeting more people via smartphone use","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_21","Integer","","Recommended","Feeling that my relationships with my smartphone buddies are more intimate than my relationships with my real-life friends","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_22","Integer","","Recommended","Not being able to use my smartphone would be as painful as losing a friend","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_23","Integer","","Recommended","Feeling that my smartphone buddies understand me better than my real-life friends","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_24","Integer","","Recommended","Constantly checking my smartphone so as not to miss conversations between other people on Twitter or Facebook","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_25","Integer","","Recommended","Checking SNS (Social Networking Service) sites like Twitter or Facebook right after waking up","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_26","Integer","","Recommended","Preferring talking with my smartphone buddies to hanging out with my real-life friends or with the other members of my family","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_27","Integer","","Recommended","Preferring searching from my smartphone to asking other people","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_28","Integer","","Recommended","My fully charged battery does not last for one whole day","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_29","Integer","","Recommended","Using my smartphone longer than I had intended","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_30","Integer","","Recommended","Feeling the urge to use my smartphone again right after I stopped using it","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_31","Integer","","Recommended","Having tried time and again to shorten my smartphone use time, but failing all the time","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_32","Integer","","Recommended","Always thinking that I should shorten my smartphone use time","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_33","Integer","","Recommended","The people around me tell me that I use my smartphone too much","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_34","Integer","","Recommended","Being incapable of doing anything without a smartphone as all schedules and personal stuff are saved in the smartphone.","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_35","Integer","","Recommended","Neglecting matters other than smartphone use even when there are many other things to be done.","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_36","Integer","","Recommended","Conflicting with family members due to smartphone use.","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_37","Integer","","Recommended","Experiencing auditory hallucinations of smartphone sounds while not using a smartphone.","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_38","Integer","","Recommended","Having used a smartphone just to feel good.","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_39","Integer","","Recommended","Feeling depressed, anxious, or oversensitive when I am not able to use my smartphone.","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_40","Integer","","Recommended","Being stressed out when I am not in a hot zone (Wi-Fi area).","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_41","Integer","","Recommended","Always preparing my charging pack to make sure that my smartphone is charged all the time.","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_42","Integer","","Recommended","Feeling bored while doing stuff without my smartphone.","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_43","Integer","","Recommended","Feeling more relieved with my smartphone by my bedside when going to bed.","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_44","Integer","","Recommended","Not minding spending money on paid smartphone applications.","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_45","Integer","","Recommended","Trying to hide what I have been up to in relation to my smartphone.","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_46","Integer","","Recommended","Not being able to keep appointments due to excessive smartphone use.","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_47","Integer","","Recommended","Having used my smartphone when I am not supposed to (in class, during a meeting, etc.).","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_48","Integer","","Recommended","Preferring Web surfing on my smartphone to doing so on computers.","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
