"cpqa35","Integer","","Recommended","In the last 12 months: Have they (your partner) threatened to leave you because of your cannabis use?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa36","Integer","","Recommended","In the last 12 months: Have you avoided them (your partner) after you have been using cannabis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa37","Integer","","Recommended","In the last 12 months: Have you been less interested or motivated in schoolwork/study?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa38","Integer","","Recommended","In the last 12 months: Have you been unable to attend classes because of your cannabis use?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa39","Integer","","Recommended","In the last 12 months: Have your school/course marks dropped?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa40","Integer","","Recommended","In the last 12 months: Have you gone to classes stoned?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa41","Integer","","Recommended","In the last 12 months: Have you been less able to concentrate on your schoolwork/study?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa42","Integer","","Recommended","In the last 12 months: Have you used cannabis on school premises?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa43","Integer","","Recommended","In the last 12 months: Have you been unable to complete homework because of your cannabis use?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa44","Integer","","Recommended","In the last 12 months: Have you had complaints from teachers about your work?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa45","Integer","","Recommended","In the last 12 months: Have you been disciplined or suspended from school because of cannabis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa46","Integer","","Recommended","In the last 12 months: Have you found your work less interesting than you used to?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa47","Integer","","Recommended","In the last 12 months: Have you been unable to arrive on time for work due to your cannabis use?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa48","Integer","","Recommended","In the last 12 months: Have you missed a whole day at work after cannabis use?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa49","Integer","","Recommended","In the last 12 months: Have you been less able to do your job because of cannabis use?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa50","Integer","","Recommended","In the last 12 months: Have you gone to work stoned?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa51","Integer","","Recommended","In the last 12 months: Has anyone at work complained about you being late or absent?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa52","Integer","","Recommended","In the last 12 months: Have you had any formal warnings from your employers?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa53","Integer","","Recommended","In the last 12 months: Have you been suspended or dismissed from work?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa54","Integer","","Recommended","In the last 12 months: Have you had any accidents at work after cannabis use?","0;1;999","0=No; 1=Yes; 999=Skipped",""
